1 0  -21.009065 -20.895593 -20.546849 -20.378565 -19.646598 -19.60195 -19.579085 -19.386953 -19.113431 -18.90585 -18.267652 -18.239251 -18.156484 -17.81325 -16.955393 -16.938541 -16.809991 -16.755158 -16.523821 -16.466608 -16.434054 -16.142232 -15.615249 -15.231022 -15.058732 -14.642275 -14.142594 -14.119757 -13.923116 -13.856347 -13.530365 -13.123743 -12.738702 -12.722547 -12.508729 -12.189878 -11.944328 -11.85501 -11.73946 -11.553536 -11.522799 -10.923838 -10.451019 -10.354519 -10.33496 -10.268879 -9.9640696 -9.7375532 -9.2577276 -9.2186506 -9.1047231 -9.0859264 -8.961443 -8.9558869 -8.9146033 -8.7315059 -8.6898559 -8.5251991 -8.514093 -8.4341842 -8.3521137 -8.3503729 -7.9798053 -7.9669144 -7.6357315 -7.5299496 -7.4461332 -7.4420102 -7.4170667 -7.3974371 -7.3193896 -7.3067632 -7.1951908 -7.185736 -6.8685245 -6.8108659 -6.6504279 -6.3160305 -6.1586246 -5.9540778 -5.8716523 -5.8607761 -5.819871 -5.8193402 -5.4493849 -5.4075632 -5.3020079 -4.4282734 -4.3915779 -4.3534087 -4.3005138 -4.1958113 -4.1668833 -4.1525613 -4.064878 -3.1273428 -2.6467337 -1.9428572 -1.7270489 -1.6388569 -0.54902645 -0.32225233 0.2778289 0.57076488 0.59078277 0.66853944 0.90839085 1.1859483 1.2356053 1.2871146 2.2009566 2.9417975 2.9496754 3.0221462 3.9588567 4.582144 5.0079114
2 0.0023416418  -21.012632 -20.890958 -20.546278 -20.378179 -19.674525 -19.586856 -19.572669 -19.383557 -19.121207 -18.89199 -18.271329 -18.239544 -18.151757 -17.812517 -17.032075 -16.862108 -16.860135 -16.704982 -16.560294 -16.443432 -16.425542 -16.141385 -15.618669 -15.230982 -15.052123 -14.637847 -14.148072 -14.122523 -13.91732 -13.8544 -13.534027 -13.132712 -12.837927 -12.623356 -12.513059 -12.185386 -11.94168 -11.845796 -11.756971 -11.535408 -11.524736 -10.928635 -10.474992 -10.351223 -10.335898 -10.241891 -9.9623952 -9.7340035 -9.2769841 -9.2234307 -9.0959652 -9.090824 -8.9580275 -8.9552544 -8.9220814 -8.7176658 -8.69111 -8.5245107 -8.5058115 -8.4483153 -8.3515916 -8.336823 -7.9839878 -7.9758969 -7.6267748 -7.5642375 -7.4842194 -7.4171064 -7.4074689 -7.3732901 -7.3163487 -7.3130961 -7.1920187 -7.1798021 -6.8816036 -6.806257 -6.6314867 -6.316181 -6.1747544 -5.9416719 -5.8800028 -5.8610729 -5.8221277 -5.8100083 -5.4485056 -5.4067023 -5.3004716 -4.4994619 -4.4053487 -4.3222139 -4.2539388 -4.2288318 -4.1720725 -4.1152083 -4.0618636 -3.1267642 -2.6481421 -1.943098 -1.7263567 -1.6387053 -0.54812914 -0.32193011 0.28161534 0.54924406 0.58648935 0.69077362 0.90235346 1.0997068 1.2949091 1.3238643 2.2040388 2.917184 2.9491836 3.0451746 3.945166 4.5746121 5.0228301
3 0.0046832837  -21.021938 -20.878447 -20.544564 -20.377023 -19.716032 -19.606892 -19.527943 -19.377482 -19.13671 -18.856573 -18.280868 -18.240401 -18.139057 -17.810374 -17.115876 -16.931593 -16.776197 -16.638809 -16.614359 -16.454875 -16.3708 -16.140402 -15.627064 -15.230871 -15.033929 -14.62434 -14.162913 -14.13043 -13.901732 -13.849018 -13.54461 -13.158242 -12.944596 -12.528867 -12.515149 -12.170084 -11.937187 -11.820961 -11.791548 -11.539913 -11.485251 -10.94403 -10.519994 -10.344749 -10.338633 -10.184089 -9.9575149 -9.7233357 -9.3214232 -9.2368705 -9.1032986 -9.091849 -8.9640938 -8.9389079 -8.9271174 -8.7004559 -8.6776914 -8.5224455 -8.4880835 -8.4726391 -8.3500288 -8.3094825 -8.0080396 -7.9884911 -7.6210591 -7.6032556 -7.535545 -7.4328544 -7.3871665 -7.3308675 -7.3182048 -7.295085 -7.1832171 -7.1681311 -6.9078384 -6.7935109 -6.5853153 -6.3166326 -6.2144318 -5.9130843 -5.896686 -5.8622388 -5.8287965 -5.7900729 -5.4459205 -5.403977 -5.2959651 -4.5866713 -4.477968 -4.2898184 -4.2277613 -4.2178012 -4.1566891 -4.0653125 -4.0520068 -3.1250003 -2.6523607 -1.9438089 -1.7242988 -1.6382542 -0.54544096 -0.32097889 0.29283332 0.50768021 0.57360349 0.73401282 0.88672253 0.99488313 1.3178576 1.4333368 2.2131911 2.8714981 2.9477047 3.086132 3.9058004 4.5542516 5.0636217
4 0.0070249255  -21.034449 -20.860597 -20.541707 -20.375109 -19.758019 -19.635129 -19.480413 -19.377618 -19.146193 -18.809026 -18.29362 -18.241734 -18.12103 -17.806993 -17.199055 -17.0029 -16.699327 -16.662049 -16.58528 -16.462649 -16.311748 -16.142891 -15.635902 -15.230715 -15.008134 -14.601226 -14.183892 -14.142472 -13.880279 -13.841406 -13.560848 -13.196905 -13.050987 -12.553157 -12.409939 -12.14169 -11.944821 -11.814768 -11.78622 -11.555516 -11.428694 -10.971975 -10.561271 -10.343433 -10.334989 -10.119692 -9.949855 -9.7056646 -9.3763468 -9.2565063 -9.1196382 -9.1170916 -8.9752315 -8.9161184 -8.9067102 -8.6983304 -8.6424259 -8.5190041 -8.5079483 -8.450937 -8.347437 -8.2794706 -8.047251 -8.0041526 -7.6770683 -7.5860583 -7.5731204 -7.4675254 -7.3862988 -7.3563827 -7.2613448 -7.2458948 -7.1701335 -7.164327 -6.9261512 -6.7754386 -6.5258916 -6.3173927 -6.2653077 -5.9150032 -5.8803173 -5.8641629 -5.8395801 -5.7662452 -5.4417888 -5.3989888 -5.2887752 -4.6746834 -4.5524148 -4.3387254 -4.2342285 -4.1450073 -4.1058905 -4.0403947 -4.0077989 -3.121981 -2.6593696 -1.9449556 -1.7209301 -1.6375147 -0.540973 -0.31944208 0.31101005 0.46191085 0.55179767 0.77990235 0.86682204 0.89420053 1.3504345 1.5449138 2.2281227 2.8205617 2.9453084 3.1291925 3.8450755 4.5251377 5.1218155
5 0.0093665673  -21.048311 -20.839268 -20.537709 -20.372457 -19.799315 -19.66804 -19.431361 -19.390712 -19.140835 -18.754938 -18.307693 -18.243367 -18.09958 -17.802667 -17.281447 -17.073236 -16.732721 -16.59839 -16.576841 -16.433416 -16.251771 -16.152246 -15.64025 -15.230561 -14.979225 -14.568082 -14.208238 -14.157335 -13.857285 -13.833187 -13.580376 -13.244568 -13.156762 -12.58848 -12.304347 -12.101612 -11.979047 -11.804628 -11.753924 -11.567833 -11.368179 -11.012772 -10.591318 -10.349244 -10.322167 -10.058755 -9.9401292 -9.6818783 -9.4359595 -9.2788971 -9.1639448 -9.1374113 -8.9914914 -8.8893228 -8.8672654 -8.6922052 -8.6224001 -8.5179133 -8.5141873 -8.418096 -8.343836 -8.2499465 -8.0920152 -8.0284406 -7.7268864 -7.6353979 -7.5452951 -7.5070449 -7.4000456 -7.3828208 -7.203179 -7.1870755 -7.1798321 -7.1525774 -6.9227131 -6.7558796 -6.4600101 -6.3209857 -6.3174335 -5.9331599 -5.8666444 -5.8548754 -5.8489875 -5.7403575 -5.4363797 -5.3911826 -5.2793198 -4.7628412 -4.6270005 -4.3908554 -4.263876 -4.0777926 -4.0601041 -3.9978459 -3.9538694 -3.1176342 -2.6691361 -1.9464797 -1.7163404 -1.6365049 -0.53474343 -0.31738358 0.33511216 0.41538986 0.52137331 0.77152305 0.84787607 0.85205903 1.3884161 1.6575606 2.2483231 2.7671918 2.9420865 3.1715441 3.7682677 4.490063 5.1892065
6 0.011708209  -21.062483 -20.815506 -20.532571 -20.369093 -19.839659 -19.703642 -19.416516 -19.380948 -19.120315 -18.697129 -18.322051 -18.245033 -18.075769 -17.797838 -17.362975 -17.141867 -16.787833 -16.606973 -16.511438 -16.373502 -16.192171 -16.168657 -15.636804 -15.230472 -14.950744 -14.525222 -14.23415 -14.173548 -13.837684 -13.826137 -13.599194 -13.297458 -13.26135 -12.630513 -12.200973 -12.055424 -12.028862 -11.770325 -11.737171 -11.563345 -11.306294 -11.063226 -10.610192 -10.356155 -10.305882 -10.006165 -9.9293846 -9.6549221 -9.4979757 -9.2997119 -9.2196668 -9.1553735 -9.0087744 -8.8597732 -8.8230391 -8.682327 -8.633858 -8.507996 -8.494524 -8.3861821 -8.3392548 -8.2221338 -8.1367858 -8.0630301 -7.7674546 -7.6834837 -7.549101 -7.5341904 -7.4194574 -7.3970197 -7.2143124 -7.1455647 -7.1435143 -7.1135266 -6.8975985 -6.7396114 -6.3906502 -6.3731331 -6.3196216 -5.9506123 -5.8721685 -5.8694329 -5.824197 -5.7129675 -5.4300842 -5.3800232 -5.2680849 -4.8509095 -4.7009914 -4.4431939 -4.2993129 -4.0736159 -3.9773503 -3.9344693 -3.8990846 -3.1119392 -2.6816157 -1.9482974 -1.7106511 -1.6352494 -0.52677703 -0.31487797 0.3622345 0.36938786 0.48471412 0.67815128 0.83422339 0.89777665 1.4286829 1.7709663 2.2730276 2.7121941 2.9381227 3.2123932 3.6803758 4.4503212 5.1390994
7 0.014049851  -21.076409 -20.789875 -20.526295 -20.365056 -19.878957 -19.740867 -19.450163 -19.329461 -19.089038 -18.637235 -18.336144 -18.246326 -18.050182 -17.793134 -17.443571 -17.208107 -16.843119 -16.650414 -16.423849 -16.311393 -16.189911 -16.129797 -15.624712 -15.230533 -14.924704 -14.474408 -14.260541 -14.189248 -13.827812 -13.822213 -13.611354 -13.366693 -13.349359 -12.67589 -12.122514 -12.06207 -12.01125 -11.740125 -11.722153 -11.535758 -11.244273 -11.117134 -10.621037 -10.363783 -10.286746 -9.9642327 -9.919138 -9.6311577 -9.5611366 -9.3137988 -9.2775659 -9.1728961 -9.0217619 -8.8281083 -8.7869776 -8.6727344 -8.6515303 -8.500432 -8.4550786 -8.3607007 -8.3337331 -8.1980303 -8.1743672 -8.1066653 -7.7981239 -7.7302841 -7.5925333 -7.5523611 -7.4421139 -7.3865006 -7.2594021 -7.1251609 -7.0827519 -7.0523868 -6.8586218 -6.732916 -6.4182379 -6.3212075 -6.3193875 -5.9671493 -5.8928232 -5.8721815 -5.8055285 -5.6842972 -5.4234423 -5.3652236 -5.2555685 -4.9387397 -4.7737517 -4.4953455 -4.3388351 -4.0794353 -3.8967342 -3.8668249 -3.8432796 -3.1049769 -2.6967521 -1.9503002 -1.7040117 -1.6337789 -0.51710462 -0.31200131 0.32317269 0.3821237 0.45334311 0.58096719 0.82652529 0.95150891 1.4692439 1.8849258 2.3011748 2.6559451 2.9334121 3.2513886 3.5857405 4.4064855 5.0357514
8 0.016391493  -21.089782 -20.762696 -20.518883 -20.360393 -19.917166 -19.779142 -19.487572 -19.276826 -19.051032 -18.576548 -18.349673 -18.246595 -18.023186 -17.789433 -17.523144 -17.271113 -16.897867 -16.700356 -16.335904 -16.283023 -16.180358 -16.069322 -15.605068 -15.230856 -14.901752 -14.419884 -14.286742 -14.20116 -13.833398 -13.823738 -13.612366 -13.46501 -13.402471 -12.72186 -12.161706 -11.989152 -11.977904 -11.741189 -11.665736 -11.497397 -11.183472 -11.165395 -10.627184 -10.371839 -10.265917 -9.9334474 -9.9116369 -9.6255905 -9.6178875 -9.3380303 -9.311777 -9.1896436 -9.0244935 -8.7946765 -8.7813369 -8.6631619 -8.6463802 -8.4914974 -8.4133229 -8.3500576 -8.3273233 -8.1987657 -8.1848247 -8.1452987 -7.8205185 -7.7757812 -7.6367609 -7.5907778 -7.4673189 -7.3601372 -7.3091008 -7.1065168 -7.0207456 -6.9898753 -6.8118031 -6.7430512 -6.4481315 -6.3230323 -6.2473701 -5.9826715 -5.9158903 -5.8743649 -5.7938629 -5.6544584 -5.4171984 -5.3469252 -5.2422428 -5.026215 -4.8445323 -4.5471638 -4.3817648 -4.0912035 -3.8211306 -3.7984583 -3.785061 -3.0969649 -2.7144789 -1.9523568 -1.6965949 -1.632129 -0.50576254 -0.30882401 0.27807716 0.35941813 0.4612755 0.48598862 0.82678971 1.0070592 1.508889 1.9992434 2.3313579 2.5987151 2.9276711 3.2883186 3.4883152 4.3589109 4.9314438
9 0.018733135  -21.102421 -20.734161 -20.510339 -20.355168 -19.954258 -19.818154 -19.5261 -19.223093 -19.008778 -18.516577 -18.362466 -18.244696 -17.995081 -17.787959 -17.601546 -17.329737 -16.951891 -16.754565 -16.308111 -16.247586 -16.122022 -16.008856 -15.579833 -15.231576 -14.881719 -14.371046 -14.312322 -14.201699 -13.855699 -13.831625 -13.619156 -13.54172 -13.450062 -12.766288 -12.222406 -11.998292 -11.878448 -11.719165 -11.602533 -11.464914 -11.198219 -11.122167 -10.630989 -10.380106 -10.245222 -9.9145362 -9.909188 -9.6866631 -9.6230129 -9.3900844 -9.3009461 -9.2054242 -9.0111348 -8.8089098 -8.7596856 -8.6571808 -8.6133328 -8.4811949 -8.376461 -8.3578527 -8.320093 -8.2254349 -8.1960386 -8.1373288 -7.8371912 -7.8199621 -7.6815055 -7.6374033 -7.4946092 -7.3600577 -7.330314 -7.0879834 -6.9575251 -6.9284026 -6.7734587 -6.760311 -6.4588639 -6.3250903 -6.1758724 -5.9971253 -5.9409734 -5.8750742 -5.7888062 -5.6235227 -5.4123982 -5.3257248 -5.2285342 -5.1132319 -4.9123181 -4.5985648 -4.4277663 -4.1076182 -3.7548604 -3.7303534 -3.7208613 -3.088268 -2.7347202 -1.9543186 -1.6885917 -1.6303398 -0.49279208 -0.3054064 0.23368867 0.30995479 0.39384052 0.49272016 0.83687551 1.063707 1.5469049 2.1136462 2.3617672 2.5408167 2.9199089 3.3230258 3.3923798 4.3079182 4.826223
10 0.021074776  -21.114217 -20.704397 -20.500668 -20.349454 -19.990218 -19.857728 -19.564194 -19.168286 -18.963699 -18.45975 -18.374419 -18.238442 -17.966273 -17.790365 -17.678456 -17.38242 -17.005094 -16.812131 -16.349267 -16.159706 -16.049967 -15.948739 -15.551029 -15.23286 -14.864152 -14.343892 -14.336854 -14.17768 -13.889898 -13.846146 -13.690422 -13.541011 -13.490853 -12.807522 -12.285041 -12.041933 -11.776629 -11.677913 -11.534092 -11.450116 -11.199141 -11.063645 -10.633806 -10.388464 -10.227213 -9.9222101 -9.9017133 -9.7451004 -9.640072 -9.4350927 -9.2819142 -9.220122 -8.9783608 -8.8496231 -8.7232713 -8.662609 -8.5680474 -8.4695285 -8.3806499 -8.3504798 -8.3121285 -8.2661954 -8.1776595 -8.1173489 -7.862816 -7.8504066 -7.7266551 -7.6867072 -7.5237802 -7.410448 -7.3034399 -7.0695087 -6.8931096 -6.8685646 -6.8193553 -6.7057712 -6.4539006 -6.3273621 -6.1069956 -6.0104778 -5.9677466 -5.8724749 -5.7894486 -5.5915527 -5.4105348 -5.3025355 -5.2148156 -5.1996863 -4.9756483 -4.6494873 -4.476667 -4.1277185 -3.6965108 -3.6657374 -3.6499817 -3.0793842 -2.7573914 -1.9560292 -1.6802063 -1.628454 -0.47823926 -0.30179615 0.18992947 0.25459782 0.30587539 0.52454452 0.85918379 1.1212123 1.5828807 2.227445 2.390115 2.4829672 2.9075675 3.3036921 3.3554037 4.2538345 4.7201341
