1 0  -60.209973 -60.189916 -60.189899 -60.189861 -60.189726 -60.189712 -60.189557 -60.180517 -60.180445 -34.418474 -34.418469 -34.41419 -34.414147 -34.414137 -34.414066 -34.413999 -34.413969 -34.374432 -34.37443 -34.2673 -34.246855 -34.246811 -34.246801 -34.246727 -34.246657 -34.246633 -34.222858 -34.222842 -34.222814 -34.222689 -34.222676 -34.222523 -34.200557 -34.200491 -34.196829 -34.196828 -17.543417 -16.093044 -16.092953 -16.092951 -16.092754 -16.092753 -16.092659 -13.292206 -13.292206 -13.292187 -13.292187 -13.292166 -13.292149 -13.253501 -12.315183 -12.315181 -12.315173 -12.112505 -12.112486 -12.112474 -12.112413 -12.112402 -12.112383 -11.731251 -11.433581 -11.43358 -11.360976 -11.360954 -11.360944 -11.36089 -11.36088 -11.360857 -11.343331 -11.343315 -11.343313 -11.101751 -11.101751 -8.6043246 -8.6043241 -8.6042844 -8.6042771 -8.6042645 -8.6042637 -7.0812877 -7.0812877 -7.0810203 -7.0810193 -7.0809442 -7.0809441 -5.6343521 -5.5298081 -5.5297069 -5.5296962 -5.529504 -5.5294941 -5.5293971 -4.6921821 -4.5426681 -4.5426654 -4.542652 -4.4954464 -4.4954444 -4.443815 -4.4438065 -4.4437993 -4.4437624 -4.4437562 -4.4437505 -3.9095343 -3.9094598 -3.9094593 -3.9092532 -3.9092505 -3.9091419 -3.6518547 -3.6518393 -3.2035348 -3.2035339 -3.1824789 -3.1824663 -3.1824374 -3.1824308 -3.1824036 -3.1823963 -3.1749521 -3.1749278 -3.1749172 -3.1748909 -3.1748764 -3.1748641 -3.1225055 -3.1224687 -3.1224584 -3.1224107 -3.1224065 -3.1223869 -2.8164575 -2.8164573 -2.2651288 -2.2651138 -2.2651082 -2.2650675 -2.2650212 -2.2650179 -2.2170024 -2.2169949 -1.8673944 -1.8673851 -1.1606698 -1.1606272 -1.0468098 -1.0467737 -1.046204 -1.0462023 -0.99254113 -0.9925247 -0.99251604 -0.99247434 -0.99247051 -0.99246589 -0.74654487 -0.7465182 -0.74620185 -0.74620183 -0.74155808 -0.74155796 -0.5354532 -0.49250682 -0.49249707 -0.49229955 -0.49017509 -0.49015508 -0.49011802 -0.36604776 -0.36587292 -0.36586257 -0.0058348154 -0.0058130468 -0.0057583963 -0.0055559608 -0.0055094664 -0.0054461661 0.65339292 0.65339362 1.2909276 2.0242825 2.0243257 2.8579664 2.8579839 2.8580129 2.8580549 2.8580716 2.8581059 3.2269461 3.2269584 3.2269777 3.2270349 3.2270477 3.2271033 3.4359358 3.4359768 3.7948286 3.7948474 3.7949318 3.8077498 3.807766 4.1679 4.1679103 4.1679457 4.168375 4.1684363 4.1684634 4.1735595 4.1735595 4.2748448 4.2749401 4.8518802 4.8524133 4.852426 4.8538573 4.8538809
2 0.0046939046  -60.209925 -60.190789 -60.190283 -60.190229 -60.189327 -60.189241 -60.188813 -60.180537 -60.180465 -34.424106 -34.419363 -34.419328 -34.419141 -34.419086 -34.408881 -34.408845 -34.403546 -34.373265 -34.373263 -34.267197 -34.249101 -34.248216 -34.248187 -34.245798 -34.245761 -34.244277 -34.22496 -34.223823 -34.223764 -34.22166 -34.221589 -34.220609 -34.200609 -34.200543 -34.197347 -34.196945 -17.541081 -16.205769 -16.148143 -16.148142 -16.033007 -16.033007 -15.975497 -13.45231 -13.452303 -13.290037 -13.290035 -13.25112 -13.128836 -13.128829 -12.360688 -12.32548 -12.325472 -12.176369 -12.143073 -12.143069 -12.080147 -12.080143 -12.050563 -11.730478 -11.435217 -11.435216 -11.381281 -11.370583 -11.370578 -11.350562 -11.350557 -11.341267 -11.32913 -11.329113 -11.294277 -11.102506 -11.102505 -8.7538436 -8.7538295 -8.625337 -8.6253344 -8.4627944 -8.4627789 -7.2139802 -7.2139654 -7.0594692 -7.0594653 -6.9347844 -6.9347675 -5.7924807 -5.6609564 -5.6609407 -5.6315364 -5.3988446 -5.3988289 -5.2680424 -4.6894969 -4.5500541 -4.5500392 -4.5403188 -4.4942052 -4.491688 -4.4916857 -4.4677221 -4.4677189 -4.4174857 -4.4174802 -4.3938949 -4.0405148 -3.9735404 -3.9735309 -3.8398847 -3.8398708 -3.7733297 -3.6750588 -3.6750443 -3.2737929 -3.2539358 -3.2320749 -3.2320548 -3.2209793 -3.2209753 -3.1833763 -3.1833743 -3.1479775 -3.1479758 -3.1329308 -3.1319519 -3.1319313 -3.1244883 -3.1244772 -3.1188247 -3.1188126 -3.1178774 -3.104542 -3.073767 -2.8088697 -2.808868 -2.3086403 -2.2889429 -2.2889244 -2.2444927 -2.2444753 -2.2223772 -2.218472 -2.2144214 -1.8731795 -1.87317 -1.1704591 -1.1659029 -1.0640937 -1.0587509 -1.0507352 -1.0420262 -1.0420205 -1.02967 -1.0296623 -0.96545485 -0.96544666 -0.92889309 -0.91471912 -0.91467892 -0.74346178 -0.74342291 -0.57160366 -0.57159469 -0.52488343 -0.5208769 -0.50571306 -0.50563445 -0.47072102 -0.47063798 -0.45582112 -0.38113373 -0.36763405 -0.36750546 -0.010608597 -0.0095121685 -0.0094897549 0.0016479061 0.0016693859 0.012337068 0.64673148 0.64673245 1.2884252 2.033305 2.0333479 2.8284224 2.8429085 2.8429271 2.8734531 2.8734707 2.8906802 3.2255087 3.2262197 3.2262292 3.2272303 3.2272518 3.2279573 3.4320847 3.4406977 3.7991299 3.7991968 3.8016354 3.8047979 3.8145786 4.082386 4.1187905 4.1188248 4.1661896 4.166191 4.2034133 4.2034407 4.2509841 4.2751321 4.2752261 4.6941757 4.6944511 4.8053513 4.8355317 4.8355791
3 0.0093878091  -60.20978 -60.191811 -60.190737 -60.190676 -60.188816 -60.188739 -60.187935 -60.180597 -60.180525 -34.433538 -34.423955 -34.423929 -34.421644 -34.421639 -34.403555 -34.403517 -34.39256 -34.370022 -34.370021 -34.266888 -34.251317 -34.250172 -34.250145 -34.245292 -34.245254 -34.241711 -34.227263 -34.224824 -34.224762 -34.220507 -34.220439 -34.218616 -34.200764 -34.200697 -34.198898 -34.197295 -17.534072 -16.314223 -16.198867 -16.198866 -15.96862 -15.968619 -15.853731 -13.60903 -13.609023 -13.283597 -13.283595 -13.243987 -12.962473 -12.962466 -12.47699 -12.354662 -12.354655 -12.24181 -12.171833 -12.171829 -12.046384 -12.04638 -11.99127 -11.728163 -11.440114 -11.440113 -11.402212 -11.379534 -11.37953 -11.339561 -11.339556 -11.322521 -11.288228 -11.288211 -11.167344 -11.10476 -11.104759 -8.9114813 -8.9114681 -8.6850912 -8.6850864 -8.3287719 -8.3287559 -7.3328731 -7.3328597 -6.9980331 -6.9980272 -6.7761434 -6.7761257 -6.0562772 -5.7923868 -5.7923711 -5.623091 -5.2692447 -5.2692291 -5.0082705 -4.6814691 -4.5721299 -4.572115 -4.5437078 -4.5332786 -4.4887148 -4.4887125 -4.4804431 -4.48044 -4.3894817 -4.3894741 -4.3470184 -4.1657433 -4.032354 -4.0323478 -3.76521 -3.7651932 -3.733232 -3.7332191 -3.6330221 -3.3701521 -3.3209551 -3.3035142 -3.303494 -3.2638013 -3.263796 -3.1427428 -3.1367448 -3.1367413 -3.1303765 -3.1303672 -3.1174188 -3.1142037 -3.1141917 -3.1114497 -3.1114464 -3.1028848 -3.1028653 -3.0258832 -2.9706422 -2.7837615 -2.7837584 -2.3490338 -2.3139304 -2.3139114 -2.238398 -2.2288919 -2.2288752 -2.2066947 -2.1690033 -1.8899381 -1.8899283 -1.1998268 -1.1815673 -1.1270989 -1.1108637 -1.0945567 -1.0945512 -1.0744475 -1.0744401 -1.0625117 -1.0150517 -1.0150205 -0.95075135 -0.95074295 -0.86847436 -0.73956501 -0.73952427 -0.55630014 -0.5149305 -0.51485412 -0.48236293 -0.44349167 -0.44338296 -0.43326166 -0.41151659 -0.39710739 -0.39705894 -0.37242277 -0.372261 -0.0092517374 -0.0092297173 -0.003127605 0.011548093 0.011567912 0.043374405 0.62744778 0.62744968 1.2808502 2.0596155 2.0596576 2.8018733 2.8299037 2.8299224 2.8875306 2.8875476 2.9262951 3.2238167 3.225667 3.2256731 3.2261823 3.2262076 3.2280512 3.4207505 3.4548568 3.7836879 3.7959469 3.8119472 3.8120163 3.872583 3.9949264 4.0560105 4.0560402 4.1443181 4.1443222 4.2259459 4.2259661 4.2759411 4.2760315 4.3297387 4.4960406 4.4962028 4.7524377 4.8272471 4.8273072
4 0.014081714  -60.209541 -60.192874 -60.191163 -60.1911 -60.188296 -60.188221 -60.187111 -60.180697 -60.180625 -34.442321 -34.428467 -34.428442 -34.424875 -34.424871 -34.398202 -34.398161 -34.3812 -34.365255 -34.365253 -34.266375 -34.253386 -34.252643 -34.252617 -34.245208 -34.245168 -34.239063 -34.229639 -34.225759 -34.225696 -34.219321 -34.219254 -34.216752 -34.20147 -34.201021 -34.200954 -34.197876 -17.522392 -16.418192 -16.245013 -16.245013 -15.899705 -15.899704 -15.727583 -13.762203 -13.762197 -13.272874 -13.272872 -13.232135 -12.793373 -12.793365 -12.63147 -12.398591 -12.398584 -12.308248 -12.198549 -12.198545 -12.011378 -12.011374 -11.935111 -11.724313 -11.448234 -11.448233 -11.423539 -11.387744 -11.387739 -11.327965 -11.32796 -11.30484 -11.224778 -11.224763 -11.108482 -11.108481 -10.995157 -9.0766869 -9.0766747 -8.7755753 -8.7755689 -8.2012529 -8.2012366 -7.4377419 -7.4377298 -6.9048319 -6.9048243 -6.6066773 -6.6066591 -6.3205974 -5.923488 -5.9234723 -5.6090183 -5.1415224 -5.1415069 -4.7507671 -4.6681823 -4.6086406 -4.6086259 -4.5912136 -4.5215534 -4.5062315 -4.5062297 -4.4618025 -4.4617985 -4.3605205 -4.3605097 -4.3210194 -4.2689758 -4.0856758 -4.0856739 -3.8082672 -3.808256 -3.6854412 -3.6854211 -3.490535 -3.4637541 -3.3890838 -3.3890638 -3.3811397 -3.3114973 -3.3114908 -3.1535227 -3.1306338 -3.1306234 -3.1211998 -3.1086605 -3.108648 -3.0874909 -3.0874863 -3.0871346 -3.0871157 -3.0817503 -3.0817453 -2.9430694 -2.8658462 -2.7355743 -2.7355702 -2.3861252 -2.3378043 -2.3377851 -2.264703 -2.2194116 -2.2193957 -2.1938518 -2.1168481 -1.9160995 -1.916089 -1.2574222 -1.257388 -1.2484624 -1.2074499 -1.1969426 -1.1773377 -1.1243135 -1.1243055 -1.0818749 -0.99322017 -0.99319848 -0.95009494 -0.95008631 -0.81176353 -0.73310786 -0.7330638 -0.58603215 -0.5204071 -0.52032679 -0.50131948 -0.4299608 -0.41080037 -0.4105669 -0.37911299 -0.37879211 -0.37653937 -0.22232118 -0.22228246 -0.0046055723 -0.0045837535 0.015544451 0.023126627 0.023144958 0.086872667 0.59742052 0.5974239 1.2680062 2.1011662 2.1012072 2.7783617 2.8206977 2.8207162 2.8989361 2.8989526 2.9647585 3.2223609 3.2233446 3.2233612 3.2260486 3.2260628 3.2270961 3.4028779 3.478142 3.7550772 3.7813452 3.8330191 3.8330979 3.9047002 3.9686204 3.9823658 3.9823828 4.1086352 4.1086432 4.2383213 4.2383701 4.277068 4.2771549 4.2999874 4.3000061 4.4037691 4.6957647 4.8272032 4.8273212
5 0.018775618  -60.20921 -60.193966 -60.19156 -60.191495 -60.187768 -60.187695 -60.186352 -60.180836 -60.180764 -34.450396 -34.432633 -34.43261 -34.428526 -34.428521 -34.392906 -34.392863 -34.369544 -34.359469 -34.359467 -34.265662 -34.255635 -34.255613 -34.255281 -34.245499 -34.245455 -34.236351 -34.232071 -34.226622 -34.226558 -34.218109 -34.218042 -34.215033 -34.205043 -34.201378 -34.201311 -34.198683 -17.506041 -16.517656 -16.286572 -16.286572 -15.826278 -15.826276 -15.597085 -13.911709 -13.911703 -13.257883 -13.257882 -13.215615 -12.803797 -12.621898 -12.621891 -12.452593 -12.452587 -12.375186 -12.223056 -12.223053 -11.975364 -11.97536 -11.882628 -11.718942 -11.459517 -11.459516 -11.445095 -11.395186 -11.395181 -11.315826 -11.31582 -11.288386 -11.143496 -11.143482 -11.113622 -11.11362 -10.798075 -9.2484356 -9.2484242 -8.8880579 -8.8880503 -8.0790326 -8.0790161 -7.529003 -7.5289923 -6.788729 -6.7887201 -6.5850787 -6.4281421 -6.4281234 -6.0539104 -6.0538948 -5.5893232 -5.0165461 -5.0165308 -4.6591737 -4.659159 -4.6497822 -4.6358827 -4.5197894 -4.5197879 -4.5051562 -4.4960565 -4.4359186 -4.4359137 -4.4133232 -4.3315176 -4.3315008 -4.2549499 -4.1332813 -4.1332755 -3.8890208 -3.8890109 -3.6008269 -3.6008013 -3.5543837 -3.4884377 -3.4884176 -3.4466311 -3.3643504 -3.3643428 -3.3340375 -3.1616858 -3.1313577 -3.1313476 -3.1282756 -3.1022339 -3.1022209 -3.0838495 -3.0838309 -3.0524065 -3.0523999 -3.0503466 -3.0503422 -2.857283 -2.7597173 -2.6610233 -2.6610187 -2.419803 -2.3584889 -2.3584696 -2.3007153 -2.2164684 -2.2164532 -2.1759456 -2.0622114 -1.9496081 -1.9495966 -1.4210759 -1.4210444 -1.315913 -1.2677793 -1.2557795 -1.243223 -1.1767939 -1.1767857 -1.1084387 -0.96449082 -0.96448198 -0.9604584 -0.96043194 -0.75925212 -0.72414593 -0.72409677 -0.62377271 -0.58707927 -0.52372221 -0.52362779 -0.39660241 -0.39645831 -0.37187048 -0.36387713 -0.36366248 -0.33643806 -0.048327131 -0.048299106 0.0042671805 0.0042868938 0.035529769 0.035546673 0.043610232 0.14175442 0.55918474 0.55919001 1.2495854 2.1551399 2.1551795 2.7578216 2.8166 2.8166181 2.9068753 2.9068914 3.0059043 3.2185613 3.2185793 3.221633 3.224987 3.2278048 3.2278183 3.379924 3.5100996 3.7175543 3.7612096 3.8176333 3.861403 3.8615657 3.9019181 3.9020024 4.0602153 4.0602268 4.0943494 4.1060764 4.10611 4.2447693 4.2447986 4.2784996 4.2785761 4.4718407 4.6355443 4.8212678 4.8214446
6 0.023469523  -60.208789 -60.195076 -60.191924 -60.191858 -60.187237 -60.187165 -60.185664 -60.181015 -60.180942 -34.457711 -34.436407 -34.436386 -34.432251 -34.432246 -34.387761 -34.387715 -34.357673 -34.353024 -34.35302 -34.264752 -34.259133 -34.259112 -34.257014 -34.246103 -34.246057 -34.23454 -34.233595 -34.227406 -34.227342 -34.216879 -34.216813 -34.213472 -34.20959 -34.201833 -34.201766 -34.19971 -17.485022 -16.612595 -16.323535 -16.323535 -15.748354 -15.748352 -15.462273 -14.057444 -14.057438 -13.238648 -13.238646 -13.1945 -12.983956 -12.512684 -12.51268 -12.448547 -12.44854 -12.442143 -12.24521 -12.245207 -11.938588 -11.938584 -11.834354 -11.712069 -11.473878 -11.473876 -11.466721 -11.401841 -11.401837 -11.303201 -11.303196 -11.273313 -11.12011 -11.120108 -11.048418 -11.048404 -10.586152 -9.4253 -9.4252895 -9.0153329 -9.0153246 -7.9608436 -7.9608271 -7.6073702 -7.6073609 -6.8493826 -6.6571153 -6.6571054 -6.242383 -6.2423641 -6.183361 -6.1833453 -5.5640125 -4.895395 -4.89538 -4.7231716 -4.723157 -4.6770429 -4.626476 -4.5289485 -4.5289476 -4.5234829 -4.4841052 -4.4030059 -4.4029998 -4.3038142 -4.3037854 -4.2447006 -4.2264682 -4.1745706 -4.1745516 -3.9699162 -3.9699074 -3.6418454 -3.6010578 -3.6010378 -3.5128959 -3.5128535 -3.4963199 -3.4210386 -3.4210214 -3.1911621 -3.1640234 -3.1317678 -3.1317572 -3.1311294 -3.0949665 -3.0949524 -3.0918552 -3.0918372 -3.0276912 -3.027687 -3.0240632 -3.0240549 -2.7689566 -2.6526244 -2.5637396 -2.5637349 -2.4499698 -2.3743079 -2.3742887 -2.345659 -2.2197781 -2.2197635 -2.153051 -2.005323 -1.9883833 -1.9883706 -1.5819099 -1.5818793 -1.4015695 -1.34149 -1.3390266 -1.2884461 -1.2296238 -1.2296154 -1.1416995 -0.99422119 -0.9942123 -0.92224951 -0.92221557 -0.72568562 -0.71275725 -0.71270696 -0.71138934 -0.62634298 -0.52642123 -0.52631385 -0.40877943 -0.40875507 -0.32020321 -0.32013573 -0.31339263 -0.29574633 0.016778447 0.016801476 0.048020501 0.048036316 0.078760707 0.12351175 0.12357053 0.20656464 0.51540175 0.51540934 1.2251995 2.2184797 2.2185179 2.7401485 2.8182035 2.8182212 2.9111689 2.9111847 3.0495195 3.2122213 3.2122396 3.2217312 3.2221792 3.2310159 3.2310293 3.3537938 3.5501216 3.6732408 3.7316882 3.7358452 3.8158015 3.8158886 3.8995633 3.8995955 3.9171124 3.9171328 4.0006085 4.000627 4.2466896 4.2467181 4.2489539 4.2797241 4.2797948 4.5336341 4.5720021 4.7856281 4.7856502
7 0.028163427  -60.208282 -60.196198 -60.192252 -60.192185 -60.186705 -60.186634 -60.185052 -60.181231 -60.181158 -34.464218 -34.43975 -34.43973 -34.435831 -34.435824 -34.382872 -34.382822 -34.346165 -34.346155 -34.345659 -34.263653 -34.263136 -34.263116 -34.258554 -34.246949 -34.2469 -34.23703 -34.230815 -34.228105 -34.228041 -34.21564 -34.215574 -34.215078 -34.21208 -34.202382 -34.202315 -34.200951 -17.459337 -16.702992 -16.355895 -16.355895 -15.665953 -15.665951 -15.323187 -14.199318 -14.199312 -13.215197 -13.215196 -13.168887 -13.167001 -12.575891 -12.575888 -12.508665 -12.27404 -12.274033 -12.264879 -12.264876 -11.901305 -11.901301 -11.790802 -11.703721 -11.491208 -11.491207 -11.488264 -11.407693 -11.407689 -11.29016 -11.290154 -11.259768 -11.127862 -11.127859 -10.942589 -10.942576 -10.364379 -9.605523 -9.6055131 -9.1521479 -9.1521389 -7.8454821 -7.8454656 -7.6736948 -7.6736868 -7.1131908 -6.5154811 -6.5154704 -6.3115964 -6.3115807 -6.0512163 -6.0511971 -5.5330948 -4.7999501 -4.7999357 -4.7794334 -4.7794189 -4.7141465 -4.6299032 -4.5985489 -4.5333085 -4.533307 -4.4584242 -4.3633449 -4.3633378 -4.2805103 -4.2804528 -4.2073507 -4.2071891 -4.2071699 -4.048082 -4.0480739 -3.9973157 -3.7262739 -3.7262531 -3.7259569 -3.5421782 -3.4927778 -3.4927407 -3.4102327 -3.4102278 -3.1597784 -3.1574784 -3.1318698 -3.1318606 -3.1096158 -3.1095986 -3.086889 -3.0868727 -3.0187467 -3.0157679 -3.0157634 -2.9968294 -2.9968195 -2.6784585 -2.5449695 -2.4765413 -2.4509043 -2.4508994 -2.3985856 -2.384109 -2.3840902 -2.2284513 -2.2284372 -2.1252649 -2.0306075 -2.030593 -1.9464402 -1.7392714 -1.7392419 -1.5046886 -1.4317598 -1.4101486 -1.3425826 -1.2807377 -1.2807292 -1.1810594 -1.0389736 -1.0389648 -0.88089977 -0.88085476 -0.85886179 -0.69904274 -0.69897717 -0.66860553 -0.64782819 -0.52993745 -0.52981276 -0.42497682 -0.42490033 -0.27225681 -0.27222526 -0.25794569 -0.25551241 0.032334196 0.032355599 0.059996658 0.060011427 0.11843756 0.27958321 0.29123384 0.29128307 0.46850988 0.46852124 1.1944222 2.2882425 2.2882793 2.7252069 2.8249435 2.8249611 2.9122019 2.9122173 3.0953459 3.2055685 3.2055871 3.2174731 3.2245779 3.2354072 3.2354209 3.3267151 3.5974394 3.6244125 3.6489283 3.7056697 3.7316586 3.7316936 3.7344456 3.7344563 3.9313623 3.9313794 3.9428276 3.942857 4.2469483 4.2469678 4.280527 4.2805822 4.4273572 4.5054122 4.5887441 4.741068 4.7410786
8 0.032857332  -60.207694 -60.197323 -60.19254 -60.192473 -60.186177 -60.186106 -60.184521 -60.181484 -60.181411 -34.469874 -34.442627 -34.442609 -34.439122 -34.439115 -34.378349 -34.378296 -34.339037 -34.339032 -34.333613 -34.267623 -34.267604 -34.262372 -34.259894 -34.247954 -34.247901 -34.239522 -34.228714 -34.22865 -34.228029 -34.221464 -34.2144 -34.214334 -34.210867 -34.203022 -34.202955 -34.202397 -17.428988 -16.788832 -16.383644 -16.383644 -15.579094 -15.579092 -15.179872 -14.337254 -14.337248 -13.35032 -13.187571 -13.18757 -13.138889 -12.640113 -12.64011 -12.574316 -12.28195 -12.281947 -12.099475 -12.099468 -11.863779 -11.863775 -11.752456 -11.693934 -11.511377 -11.511375 -11.509574 -11.41273 -11.412725 -11.276779 -11.276773 -11.247886 -11.136778 -11.136775 -10.828199 -10.828187 -10.135426 -9.7869827 -9.7869731 -9.2948393 -9.29483 -7.7318828 -7.7318664 -7.7288344 -7.7288276 -7.3762028 -6.4384193 -6.4384036 -6.3677793 -6.367768 -5.856361 -5.8563417 -5.4965809 -4.8887181 -4.8887038 -4.7467428 -4.7314846 -4.670417 -4.6704032 -4.5663727 -4.5325078 -4.532506 -4.4281426 -4.3172939 -4.3172857 -4.2728114 -4.2727184 -4.2208789 -4.220793 -4.1999646 -4.1219074 -4.1219001 -3.8632868 -3.8632668 -3.8065679 -3.7545542 -3.5822567 -3.5588363 -3.5588158 -3.3131561 -3.3131359 -3.1718615 -3.1397187 -3.1351429 -3.1351268 -3.1317493 -3.1317406 -3.0779569 -3.0779363 -3.010714 -3.0107088 -2.9710019 -2.9709901 -2.8598875 -2.5861249 -2.4994456 -2.4584005 -2.4371891 -2.3872728 -2.3872546 -2.3286787 -2.3286737 -2.2411297 -2.2411159 -2.092708 -2.0749431 -2.0749251 -1.8926228 -1.8925288 -1.8857865 -1.624418 -1.5249775 -1.4806247 -1.4050174 -1.328281 -1.3282723 -1.2258549 -1.0980192 -1.0980107 -1.0060073 -0.83820966 -0.83814982 -0.68312731 -0.68304805 -0.66514942 -0.63124951 -0.53551442 -0.53536856 -0.44340648 -0.44329149 -0.22372454 -0.22370875 -0.21677268 -0.20789527 0.050315266 0.050335723 0.070979847 0.070993817 0.1597668 0.35894367 0.42029256 0.4203116 0.45254358 0.45255884 1.1568434 2.3617579 2.3617932 2.7128392 2.8345445 2.8345627 2.9107473 2.9107624 3.1430808 3.2011602 3.2011792 3.2124702 3.229457 3.2404699 3.240484 3.30109 3.5604044 3.5604615 3.5708733 3.5733198 3.6502023 3.6512617 3.6512893 3.6721575 3.854482 3.854507 3.9924971 3.9925267 4.2469393 4.2469623 4.2806108 4.2806553 4.4361066 4.6189159 4.6435867 4.6900509 4.6900683
9 0.037551236  -60.207028 -60.198442 -60.192785 -60.192718 -60.185655 -60.185585 -60.184073 -60.181773 -60.1817 -34.474643 -34.445008 -34.444991 -34.442032 -34.442024 -34.374311 -34.374256 -34.331782 -34.331775 -34.321595 -34.272572 -34.272555 -34.261024 -34.260917 -34.249021 -34.248965 -34.242 -34.229229 -34.229165 -34.228701 -34.225258 -34.213167 -34.213102 -34.209843 -34.204037 -34.203748 -34.203681 -17.39398 -16.870099 -16.406777 -16.406777 -15.487798 -15.487796 -15.032379 -14.471181 -14.471176 -13.532428 -13.155821 -13.15582 -13.104645 -12.703892 -12.70389 -12.638688 -12.296324 -12.296321 -11.926666 -11.92666 -11.826279 -11.826275 -11.719757 -11.68275 -11.53423 -11.534227 -11.530512 -11.41694 -11.416936 -11.263142 -11.263137 -11.237786 -11.146748 -11.146744 -10.706819 -10.706807 -9.9669471 -9.9669379 -9.9008475 -9.440857 -9.4408474 -7.7735819 -7.7735761 -7.6381323 -7.6191358 -7.6191195 -6.5636761 -6.5636604 -6.2169008 -6.2168891 -5.6594143 -5.6593949 -5.454484 -4.9885981 -4.9885839 -4.827959 -4.7744601 -4.5706305 -4.5706173 -4.5304213 -4.5262222 -4.52622 -4.3932959 -4.2871837 -4.2871126 -4.2654052 -4.2653956 -4.2097855 -4.2097199 -4.2050869 -4.1903006 -4.190294 -4.0112108 -4.0111909 -3.8835196 -3.6307245 -3.6307069 -3.6161094 -3.51712 -3.2099123 -3.2098748 -3.1852202 -3.1658925 -3.1658778 -3.1314988 -3.1314907 -3.1096477 -3.067667 -3.0676345 -3.0100537 -3.0100475 -2.9471326 -2.9471193 -2.696077 -2.5238856 -2.5186223 -2.4922643 -2.3836327 -2.3836153 -2.3297566 -2.256126 -2.2561124 -2.2016182 -2.2016128 -2.1215858 -2.1215589 -2.0555251 -2.0396892 -2.0396469 -1.8238732 -1.7598227 -1.6201309 -1.5499534 -1.475077 -1.370611 -1.3706019 -1.2753848 -1.1703724 -1.1703642 -1.1629965 -0.79565075 -0.79557193 -0.67929126 -0.6651595 -0.66506565 -0.59964142 -0.54414979 -0.5439803 -0.46349759 -0.46334843 -0.18067727 -0.1774508 -0.17744337 -0.16498336 0.070399185 0.070418722 0.080603149 0.080616565 0.19987485 0.37298165 0.37299094 0.44268919 0.60316506 0.60319787 1.1121331 2.436654 2.4366879 2.7028766 2.8425694 2.842589 2.9077467 2.9077614 3.1923791 3.2032753 3.2032957 3.2071141 3.2374429 3.2456204 3.2456348 3.2793334 3.398955 3.3989734 3.4988317 3.5220494 3.5779762 3.5779931 3.6314726 3.7118633 3.7720262 3.7720541 4.0476351 4.0476648 4.2475942 4.2476198 4.2797352 4.2797684 4.3644791 4.6336012 4.6336165 4.6742666 4.8438651
10 0.042245141  -60.20629 -60.199549 -60.192985 -60.192918 -60.185144 -60.185074 -60.183711 -60.182095 -60.182021 -34.478495 -34.446869 -34.446854 -34.444495 -34.444485 -34.370882 -34.370823 -34.324487 -34.324479 -34.309699 -34.277955 -34.277939 -34.261938 -34.259298 -34.250049 -34.249991 -34.244446 -34.236736 -34.229645 -34.229581 -34.222521 -34.211951 -34.211886 -34.209014 -34.205859 -34.204555 -34.204488 -17.354316 -16.946781 -16.425289 -16.425289 -15.39209 -15.392087 -14.880767 -14.601039 -14.601034 -13.712422 -13.120011 -13.12001 -13.066313 -12.766211 -12.766209 -12.701395 -12.307921 -12.307918 -11.789078 -11.789074 -11.758851 -11.758845 -11.693095 -11.670222 -11.559592 -11.55959 -11.550944 -11.420317 -11.420313 -11.249344 -11.249339 -11.229575 -11.157651 -11.157647 -10.579606 -10.579594 -10.141401 -10.141392 -9.6616271 -9.5883894 -9.5883796 -7.8987041 -7.8085944 -7.8085894 -7.5065145 -7.5064983 -6.6872562 -6.6872406 -6.0650465 -6.0650344 -5.4618537 -5.4618343 -5.4068194 -5.0986448 -5.0986308 -4.9192038 -4.7969952 -4.5141667 -4.5141642 -4.4913095 -4.4830317 -4.4830195 -4.3539256 -4.3053178 -4.3052633 -4.2540799 -4.2540742 -4.2218219 -4.2067518 -4.206742 -4.1931192 -4.1930696 -4.1690741 -4.1690543 -3.9566823 -3.7054453 -3.7054289 -3.6434723 -3.2857664 -3.198639 -3.1986262 -3.1975314 -3.1311995 -3.131192 -3.1080657 -3.1079784 -3.067564 -3.050583 -3.0505041 -3.0123539 -3.0123463 -2.9260347 -2.9260199 -2.5937179 -2.5340218 -2.5289781 -2.3971587 -2.3733544 -2.3733377 -2.2715524 -2.2715388 -2.223183 -2.2018719 -2.2018443 -2.1505433 -2.1504965 -2.0701186 -2.0701097 -2.0138864 -1.9099099 -1.7609004 -1.716546 -1.6176385 -1.5520479 -1.4063038 -1.4062946 -1.3289344 -1.3269905 -1.2548834 -1.2548757 -0.75442735 -0.75432487 -0.69047552 -0.64533459 -0.64521851 -0.57404346 -0.55654438 -0.55635211 -0.48483866 -0.48465929 -0.1484821 -0.13621433 -0.13620985 -0.13049902 0.088590228 0.088602764 0.092553993 0.092574173 0.23598076 0.32724022 0.32725182 0.52886787 0.7386298 0.73866177 1.0601084 2.5108145 2.5108471 2.6951514 2.8429236 2.8429452 2.9041275 2.9041419 3.2018786 3.2172693 3.2173019 3.2428493 3.249131 3.2503076 3.2503356 3.2551346 3.2551688 3.2637081 3.4343496 3.4724328 3.5149757 3.5149882 3.5894708 3.6862011 3.6862306 3.7761905 4.1073585 4.1073877 4.2493723 4.2493991 4.2777594 4.2777819 4.2909874 4.5726945 4.5727121 4.7066457 4.903944
