1 0  -60.203279 -60.203131 -60.193299 -60.193231 -60.183545 -60.18354 -60.183421 -60.183297 -60.183099 -34.484456 -34.449145 -34.449088 -34.44904 -34.448972 -34.365233 -34.365169 -34.29978 -34.299736 -34.299665 -34.299619 -34.270297 -34.270158 -34.263355 -34.252582 -34.252444 -34.251978 -34.251914 -34.230291 -34.230227 -34.213553 -34.21341 -34.20801 -34.208 -34.207892 -34.20778 -34.20766 -17.178996 -17.178804 -16.453646 -16.453645 -15.022747 -15.022746 -15.022745 -15.022739 -14.318931 -14.318707 -12.964206 -12.964156 -12.964003 -12.96395 -12.902782 -12.902717 -12.325847 -12.325843 -11.665216 -11.665187 -11.665141 -11.665117 -11.651374 -11.616746 -11.61669 -11.425502 -11.425497 -11.377362 -11.377357 -11.216769 -11.20136 -11.201341 -11.201292 -11.201266 -10.534604 -10.534594 -10.100182 -10.10009 -10.099939 -10.099846 -8.7961667 -8.7961417 -7.8608822 -7.8608789 -7.1060651 -7.1060639 -7.1060489 -7.1060475 -5.5492411 -5.5491981 -5.5490745 -5.5490265 -5.1965355 -5.1963333 -4.8321258 -4.7847166 -4.7847121 -4.7846972 -4.7846921 -4.4234215 -4.4234029 -4.4233843 -4.4233604 -4.3422187 -4.3421569 -4.3361898 -4.3361448 -4.3294158 -4.3294132 -4.1813921 -4.1811458 -4.162324 -4.1622867 -3.9704957 -3.9704841 -3.9704336 -3.9704141 -3.6858434 -3.2689816 -3.268977 -3.2190407 -3.1305772 -3.1305707 -3.0341378 -3.0341139 -3.0340694 -3.034059 -2.8890315 -2.8890141 -2.8506612 -2.8506033 -2.6712548 -2.6712495 -2.6712464 -2.6712418 -2.5577015 -2.5360193 -2.5358889 -2.3024109 -2.3023969 -2.2915177 -2.2914849 -2.2914825 -2.2914723 -2.0580522 -2.0580093 -1.9282612 -1.9270017 -1.8653606 -1.8650943 -1.8362158 -1.8361257 -1.6273946 -1.6273732 -1.627357 -1.6273453 -1.5380349 -1.5379709 -1.4642269 -1.4642172 -0.70742624 -0.63242984 -0.63233594 -0.63221092 -0.63215257 -0.56585247 -0.56563579 -0.56560485 -0.56542044 -0.53431266 -0.085248945 -0.085210192 -0.064964976 -0.064955139 0.10130008 0.10131222 0.19021052 0.19023739 0.19027292 0.190292 0.29881415 0.82327673 0.8233333 0.98512172 0.98515031 2.6837766 2.736971 2.7369958 2.7370116 2.7370781 2.8964467 2.8964608 2.995167 2.9951914 3.1919526 3.2583994 3.2584146 3.280331 3.2804087 3.3313684 3.3314116 3.3947958 3.3948162 3.3948786 3.3949106 3.4103408 3.4103597 3.4223206 3.4223894 4.0271925 4.0272425 4.2633342 4.2633664 4.2634988 4.2635598 4.3388911 4.338923 4.3392912 4.3393317 4.7559352 4.9250481
2 0.0035204284  -60.203927 -60.202456 -60.193284 -60.193216 -60.183824 -60.183765 -60.183235 -60.183107 -60.183025 -34.484181 -34.44918 -34.449166 -34.448645 -34.448625 -34.365504 -34.365441 -34.304837 -34.304826 -34.294716 -34.294704 -34.278296 -34.263289 -34.262436 -34.254098 -34.251879 -34.251815 -34.250869 -34.230261 -34.230197 -34.215326 -34.211703 -34.20876 -34.208699 -34.207792 -34.20714 -34.207069 -17.221274 -17.133922 -16.452343 -16.452343 -15.106353 -15.106349 -14.936734 -14.93673 -14.44321 -14.192364 -13.001338 -13.001337 -12.941366 -12.924862 -12.924861 -12.862385 -12.325019 -12.325016 -11.690547 -11.690544 -11.653314 -11.640634 -11.640631 -11.62935 -11.603518 -11.425263 -11.425259 -11.402505 -11.4025 -11.217364 -11.211426 -11.21142 -11.191407 -11.191402 -10.508883 -10.508873 -10.206426 -10.206416 -9.9921186 -9.9921083 -8.9847613 -8.606095 -7.8585158 -7.8585124 -7.1931587 -7.1931428 -7.0180861 -7.0180703 -5.6558964 -5.6558834 -5.4454217 -5.4454083 -5.2471908 -5.1426058 -4.9263353 -4.9263157 -4.830496 -4.6459343 -4.6459146 -4.4494176 -4.4494139 -4.3937107 -4.3937063 -4.3742508 -4.3371656 -4.3371608 -4.3347326 -4.3346918 -4.3112621 -4.2227527 -4.1638373 -4.1637996 -4.1373957 -4.0248808 -4.0248679 -3.9146896 -3.9146755 -3.6838854 -3.2650418 -3.2650363 -3.2179831 -3.1306099 -3.1306034 -3.0406659 -3.0406461 -3.0281352 -3.0281223 -2.9034497 -2.8908854 -2.8908681 -2.7960701 -2.7661796 -2.7661742 -2.6876312 -2.5736575 -2.5736532 -2.5566115 -2.3899414 -2.3143512 -2.314337 -2.3007706 -2.3007567 -2.2661881 -2.266175 -2.1312289 -2.0578093 -1.9847125 -1.9391634 -1.8781171 -1.7973853 -1.7933322 -1.7923544 -1.7186871 -1.7186807 -1.5853751 -1.539337 -1.5393302 -1.4912198 -1.4614781 -1.4614684 -0.70665224 -0.65495027 -0.65476877 -0.61196756 -0.61175729 -0.58357371 -0.58338685 -0.54787291 -0.54766279 -0.53615063 -0.090741446 -0.084879846 -0.068468089 -0.068458597 0.10070393 0.1007161 0.16623037 0.16624761 0.21615376 0.21616944 0.29571695 0.76329275 0.88052406 0.97236754 0.97239651 2.6842865 2.6953749 2.6954039 2.7731647 2.7731916 2.8968563 2.8968704 3.0085218 3.008546 3.1924694 3.2580106 3.2580258 3.2664799 3.2944159 3.3162538 3.3422417 3.3422661 3.355799 3.3841469 3.4153731 3.4153915 3.4525625 3.4525905 3.4600059 3.9712165 4.0837733 4.2596222 4.259637 4.2671277 4.2671501 4.2879216 4.2879453 4.3904808 4.3904995 4.7536733 4.9240286
3 0.0070408568  -60.204615 -60.201689 -60.19324 -60.193173 -60.184167 -60.184102 -60.183264 -60.182829 -60.182752 -34.483355 -34.448964 -34.448952 -34.447915 -34.447901 -34.36631 -34.366248 -34.310087 -34.310077 -34.28989 -34.289877 -34.286606 -34.263093 -34.255615 -34.254954 -34.251587 -34.251524 -34.249174 -34.230172 -34.230107 -34.217226 -34.209999 -34.209601 -34.209537 -34.207967 -34.206389 -34.20632 -17.26104 -17.086344 -16.448436 -16.448436 -15.187538 -15.187534 -14.848331 -14.848326 -14.565476 -14.063917 -13.036555 -13.036554 -12.978125 -12.883788 -12.883786 -12.82039 -12.322539 -12.322536 -11.716666 -11.716663 -11.65912 -11.641376 -11.617055 -11.617052 -11.589791 -11.470362 -11.470357 -11.424548 -11.424544 -11.221679 -11.221674 -11.219142 -11.18175 -11.181745 -10.439313 -10.439303 -10.311081 -10.31107 -9.8829942 -9.882984 -9.1717859 -8.4147053 -7.8513968 -7.8513932 -7.2794482 -7.2794322 -6.9291687 -6.929153 -5.7651932 -5.7651804 -5.3452127 -5.3451992 -5.294862 -5.0857196 -5.0703062 -5.0702868 -4.8256165 -4.510477 -4.5104573 -4.4718085 -4.4718051 -4.4067602 -4.3603613 -4.3603566 -4.3599252 -4.359919 -4.3303829 -4.3303405 -4.2823053 -4.2618147 -4.1683251 -4.1682862 -4.0911683 -4.0775686 -4.0775565 -3.857962 -3.8579473 -3.6780185 -3.2537039 -3.2536964 -3.2148507 -3.1307058 -3.1306991 -3.0479639 -3.0479368 -3.0227857 -3.0227746 -2.953644 -2.8963467 -2.8963298 -2.8581312 -2.8581162 -2.8445632 -2.7405783 -2.5533432 -2.4736174 -2.4736124 -2.3345199 -2.3345051 -2.2959904 -2.2959766 -2.2500141 -2.2386276 -2.2386145 -2.2042209 -2.1875359 -2.0148519 -1.9180588 -1.9113793 -1.8126198 -1.8126134 -1.7468365 -1.7237747 -1.6674989 -1.6330733 -1.4552327 -1.4552255 -1.4532835 -1.4532742 -1.4452798 -0.70432779 -0.6796019 -0.67944153 -0.60118149 -0.60101158 -0.59376785 -0.59355131 -0.54165936 -0.53019731 -0.52998418 -0.10105672 -0.089944812 -0.078838481 -0.078830001 0.098922834 0.098935084 0.14401933 0.14403723 0.24399422 0.24400898 0.28655158 0.70102763 0.9344412 0.9351046 0.9351891 2.6492642 2.6492942 2.6858234 2.8027873 2.8028129 2.8980523 2.8980664 3.0475848 3.047609 3.1939838 3.256852 3.256867 3.2581788 3.284711 3.2963626 3.2963845 3.3341949 3.3456084 3.3839009 3.4303358 3.4303527 3.496867 3.5139702 3.5139994 3.9161035 4.1405679 4.2366303 4.2366693 4.2566203 4.2566477 4.2706371 4.2706564 4.4415379 4.4415565 4.7468869 4.9209991
4 0.010561285  -60.205272 -60.2009 -60.193168 -60.1931 -60.184524 -60.184457 -60.183386 -60.182542 -60.182467 -34.481983 -34.448437 -34.448424 -34.446879 -34.446867 -34.367631 -34.367569 -34.315433 -34.315424 -34.295127 -34.285245 -34.285231 -34.262767 -34.257061 -34.251126 -34.251063 -34.247807 -34.247433 -34.230023 -34.229959 -34.219177 -34.210466 -34.210402 -34.208374 -34.208263 -34.205669 -34.205601 -17.298196 -17.036168 -16.441925 -16.441925 -15.266287 -15.266284 -14.757555 -14.75755 -14.685566 -13.93357 -13.069664 -13.069663 -13.012925 -12.840978 -12.840977 -12.776888 -12.318414 -12.318411 -11.743413 -11.74341 -11.668749 -11.652761 -11.594536 -11.594533 -11.575579 -11.566298 -11.566292 -11.423357 -11.423353 -11.232025 -11.23202 -11.222096 -11.1724 -11.172396 -10.413726 -10.413715 -10.340595 -10.340586 -9.7729414 -9.7729314 -9.3570847 -8.2221016 -7.8394656 -7.8394615 -7.3650378 -7.3650218 -6.8392772 -6.8392615 -5.8765162 -5.8765037 -5.3394368 -5.2489784 -5.2489646 -5.2161251 -5.2161056 -5.0257916 -4.8175158 -4.4906141 -4.4906111 -4.4391086 -4.3964344 -4.3964264 -4.3788148 -4.3787951 -4.3233752 -4.32337 -4.3231842 -4.3231413 -4.2984257 -4.25622 -4.1756249 -4.1755837 -4.1281783 -4.1281668 -4.0426242 -3.8007168 -3.8007015 -3.6682642 -3.2362731 -3.2362634 -3.2097645 -3.1308577 -3.1308507 -3.0568278 -3.0567832 -3.0181416 -3.0181321 -3.0063531 -3.0002874 -2.9461203 -2.9460871 -2.9051338 -2.9051175 -2.6849241 -2.547901 -2.371449 -2.3714445 -2.3517614 -2.3517458 -2.3164997 -2.2884694 -2.2884556 -2.2769158 -2.2088892 -2.2088746 -2.1166012 -2.0920158 -1.9558752 -1.9084722 -1.9084658 -1.8381269 -1.7003867 -1.6802571 -1.6568591 -1.5384733 -1.4397994 -1.4397898 -1.4004464 -1.3756861 -1.3756788 -0.70622241 -0.70608478 -0.70044501 -0.6183206 -0.61817219 -0.57785169 -0.57763954 -0.55081024 -0.5128375 -0.51263155 -0.11573118 -0.10055501 -0.095668425 -0.095661543 0.095978541 0.095990924 0.12348143 0.12349995 0.27168982 0.27373987 0.27375363 0.63712661 0.87599399 0.87602386 0.98486101 2.5995403 2.5995713 2.6884088 2.8247914 2.8248156 2.8999359 2.8999501 3.1096819 3.109709 3.1963928 3.2549526 3.2549671 3.2557245 3.2588063 3.2588252 3.2696266 3.3069579 3.3665227 3.4150153 3.4548299 3.4548446 3.5327003 3.5777598 3.5777895 3.8622281 4.1870339 4.1870641 4.1973042 4.2533176 4.253344 4.2737484 4.2737621 4.4918192 4.4918376 4.7355748 4.9160463
5 0.014081714  -60.205895 -60.200094 -60.193068 -60.193 -60.184893 -60.184824 -60.183564 -60.182268 -60.182194 -34.480069 -34.447599 -34.447584 -34.445545 -34.445534 -34.369433 -34.369373 -34.32085 -34.320842 -34.303822 -34.2808 -34.280785 -34.262312 -34.25843 -34.250517 -34.250457 -34.245652 -34.241033 -34.229816 -34.229751 -34.221171 -34.211351 -34.211287 -34.208675 -34.206835 -34.204987 -34.20492 -17.33274 -16.983399 -16.432811 -16.432811 -15.342588 -15.342585 -14.803437 -14.664424 -14.664419 -13.801435 -13.100608 -13.100607 -13.045669 -12.796589 -12.796587 -12.73201 -12.312657 -12.312654 -11.770674 -11.770671 -11.682133 -11.67859 -11.678584 -11.663471 -11.573154 -11.573151 -11.56093 -11.421691 -11.421687 -11.242416 -11.242411 -11.226205 -11.163413 -11.163409 -10.514097 -10.514086 -10.22459 -10.22458 -9.6622945 -9.6622845 -9.5404951 -8.0283969 -7.8226216 -7.8226171 -7.4500628 -7.4500466 -6.7483951 -6.7483794 -5.9893169 -5.9893046 -5.3809048 -5.3632761 -5.3632567 -5.1571709 -5.1571571 -4.9628403 -4.8062419 -4.505897 -4.5058943 -4.4707817 -4.4449473 -4.4449376 -4.332559 -4.3132876 -4.3132378 -4.2828288 -4.2828233 -4.2514152 -4.2513954 -4.2339947 -4.1854348 -4.1853895 -4.1763485 -4.1763379 -3.9918045 -3.7434226 -3.7434067 -3.6546583 -3.2145472 -3.2145358 -3.2029266 -3.1726179 -3.1310533 -3.131046 -3.0740548 -3.0739593 -3.0424289 -3.0232304 -3.0231448 -3.014336 -3.0143279 -2.91684 -2.9168246 -2.629818 -2.5402925 -2.4444135 -2.3658387 -2.3658225 -2.3492203 -2.2788165 -2.2788027 -2.2682035 -2.2681953 -2.1763749 -2.1763517 -2.1703887 -2.005463 -2.0054562 -1.9914566 -1.9901395 -1.7650727 -1.7292156 -1.6506698 -1.5928957 -1.4212833 -1.4212724 -1.4108918 -1.3569944 -1.3013076 -1.3013 -0.73462709 -0.73451111 -0.69499234 -0.63479818 -0.63466974 -0.56428182 -0.5640772 -0.56356274 -0.49588192 -0.49568999 -0.13425833 -0.11830816 -0.11830288 -0.11670943 0.091906935 0.091919478 0.10446395 0.10448315 0.25173156 0.30529029 0.3053028 0.57227216 0.79858227 0.79861347 1.0313525 2.5470094 2.5470413 2.6920787 2.8384411 2.8384638 2.9023429 2.9023572 3.1910074 3.1911501 3.199651 3.2309706 3.2309797 3.2523751 3.2523902 3.2565285 3.2588193 3.2684057 3.4053725 3.4487313 3.4882078 3.4882206 3.5672617 3.6427499 3.6427797 3.8099566 4.1386517 4.1386808 4.250727 4.2507539 4.2537033 4.2763513 4.2763693 4.5408808 4.5408988 4.7197324 4.9093168
6 0.017602142  -60.206481 -60.199274 -60.19294 -60.192872 -60.18527 -60.185201 -60.183793 -60.182012 -60.181938 -34.477619 -34.446454 -34.446438 -34.443924 -34.443915 -34.371676 -34.371618 -34.32631 -34.326302 -34.312657 -34.27657 -34.276554 -34.261731 -34.259717 -34.249802 -34.249744 -34.243839 -34.234655 -34.22955 -34.229486 -34.223201 -34.212253 -34.212188 -34.209203 -34.205387 -34.204346 -34.204279 -17.364668 -16.928041 -16.421095 -16.421094 -15.416429 -15.416426 -14.919052 -14.568959 -14.568954 -13.667658 -13.12934 -13.129339 -13.076269 -12.750811 -12.750809 -12.685894 -12.305286 -12.305283 -11.800071 -11.800065 -11.798332 -11.798328 -11.699175 -11.673477 -11.553027 -11.553024 -11.54589 -11.419551 -11.419547 -11.252803 -11.252798 -11.231446 -11.154844 -11.15484 -10.611904 -10.611892 -10.098609 -10.0986 -9.7218267 -9.5514434 -9.5514336 -7.8337033 -7.8007223 -7.8007172 -7.5346926 -7.5346764 -6.6565228 -6.6565071 -6.1029994 -6.1029874 -5.5112246 -5.5112053 -5.4192566 -5.0702337 -5.0702197 -4.8968875 -4.7918615 -4.5177356 -4.5177332 -4.5036297 -4.5035916 -4.5013069 -4.3641897 -4.3009854 -4.3009277 -4.2399484 -4.2399432 -4.2206615 -4.2206533 -4.2166378 -4.1972125 -4.19716 -4.1287319 -4.128712 -3.9387537 -3.6865803 -3.6865637 -3.6372514 -3.3429916 -3.194621 -3.19047 -3.1904567 -3.1320851 -3.1320136 -3.1312725 -3.1312626 -3.0791485 -3.056774 -3.0567135 -3.0115543 -3.0115471 -2.930996 -2.9309816 -2.575952 -2.5709981 -2.5305283 -2.4210373 -2.3765282 -2.3765114 -2.2677628 -2.2677491 -2.2497162 -2.1734341 -2.1733879 -2.1333123 -2.1332372 -2.1015014 -2.1014839 -2.0247034 -1.8710674 -1.7767123 -1.6923524 -1.6009003 -1.5321973 -1.398072 -1.3980628 -1.3152092 -1.2854665 -1.2326831 -1.2326752 -0.76455123 -0.7644551 -0.68795 -0.65045314 -0.65034288 -0.57986716 -0.55306745 -0.55288053 -0.47940429 -0.47923193 -0.15609363 -0.14590439 -0.1458998 -0.13827474 0.086712874 0.086740123 0.08683874 0.086885094 0.22747321 0.33846309 0.33847419 0.50720044 0.70653655 0.70656886 1.0738029 2.4924515 2.4924844 2.6968817 2.8438905 2.8439115 2.9050437 2.9050582 3.2031505 3.212431 3.2124564 3.2301476 3.2458343 3.2492149 3.2492299 3.2669255 3.2890265 3.2890416 3.4496874 3.4845934 3.5296043 3.5296173 3.600295 3.7078479 3.7078771 3.7596783 4.0920475 4.0920768 4.2488116 4.2488382 4.2783594 4.2783844 4.3095076 4.588285 4.5883024 4.699339 4.9010197
7 0.02112257  -60.207028 -60.198442 -60.192785 -60.192718 -60.185655 -60.185585 -60.184073 -60.181773 -60.1817 -34.474643 -34.445008 -34.444991 -34.442032 -34.442024 -34.374311 -34.374256 -34.331782 -34.331775 -34.321595 -34.272572 -34.272555 -34.261024 -34.260917 -34.249021 -34.248965 -34.242 -34.229229 -34.229165 -34.228701 -34.225258 -34.213167 -34.213102 -34.209843 -34.204037 -34.203748 -34.203681 -17.39398 -16.870099 -16.406777 -16.406777 -15.487798 -15.487796 -15.032379 -14.471181 -14.471176 -13.532428 -13.155821 -13.15582 -13.104645 -12.703892 -12.70389 -12.638688 -12.296324 -12.296321 -11.926666 -11.92666 -11.826279 -11.826275 -11.719757 -11.68275 -11.53423 -11.534227 -11.530512 -11.41694 -11.416936 -11.263142 -11.263137 -11.237786 -11.146748 -11.146744 -10.706819 -10.706807 -9.9669471 -9.9669379 -9.9008475 -9.440857 -9.4408474 -7.7735819 -7.7735761 -7.6381323 -7.6191358 -7.6191195 -6.5636761 -6.5636604 -6.2169008 -6.2168891 -5.6594143 -5.6593949 -5.454484 -4.9885981 -4.9885839 -4.827959 -4.7744601 -4.5706305 -4.5706173 -4.5304213 -4.5262222 -4.52622 -4.3932959 -4.2871837 -4.2871126 -4.2654052 -4.2653956 -4.2097855 -4.2097199 -4.2050869 -4.1903006 -4.190294 -4.0112108 -4.0111909 -3.8835196 -3.6307245 -3.6307069 -3.6161094 -3.51712 -3.2099123 -3.2098748 -3.1852202 -3.1658925 -3.1658778 -3.1314988 -3.1314907 -3.1096477 -3.067667 -3.0676345 -3.0100537 -3.0100475 -2.9471326 -2.9471193 -2.696077 -2.5238856 -2.5186223 -2.4922643 -2.3836327 -2.3836153 -2.3297566 -2.256126 -2.2561124 -2.2016182 -2.2016128 -2.1215858 -2.1215589 -2.0555251 -2.0396892 -2.0396469 -1.8238732 -1.7598227 -1.6201309 -1.5499534 -1.475077 -1.370611 -1.3706019 -1.2753848 -1.1703724 -1.1703642 -1.1629965 -0.79565075 -0.79557193 -0.67929126 -0.6651595 -0.66506565 -0.59964142 -0.54414979 -0.5439803 -0.46349759 -0.46334843 -0.18067727 -0.1774508 -0.17744337 -0.16498336 0.070399185 0.070418722 0.080603149 0.080616565 0.19987485 0.37298165 0.37299094 0.44268919 0.60316506 0.60319787 1.1121331 2.436654 2.4366879 2.7028766 2.8425694 2.842589 2.9077467 2.9077614 3.1923791 3.2032753 3.2032957 3.2071141 3.2374429 3.2456204 3.2456348 3.2793334 3.398955 3.3989734 3.4988317 3.5220494 3.5779762 3.5779931 3.6314726 3.7118633 3.7720262 3.7720541 4.0476351 4.0476648 4.2475942 4.2476198 4.2797352 4.2797684 4.3644791 4.6336012 4.6336165 4.6742666 4.8438651
8 0.024642999  -60.207535 -60.197604 -60.192605 -60.192538 -60.186045 -60.185975 -60.184401 -60.181553 -60.18148 -34.47115 -34.44327 -34.443252 -34.439889 -34.439881 -34.377289 -34.377236 -34.337232 -34.337226 -34.330602 -34.268818 -34.268799 -34.262024 -34.260196 -34.248219 -34.248165 -34.240144 -34.228852 -34.228788 -34.227334 -34.223195 -34.21409 -34.214025 -34.210593 -34.203195 -34.203129 -34.202789 -17.420673 -16.809578 -16.38986 -16.38986 -15.556685 -15.556683 -15.143388 -14.371114 -14.371108 -13.396003 -13.180018 -13.180017 -13.13072 -12.656146 -12.656143 -12.590544 -12.2858 -12.285797 -12.056014 -12.056008 -11.854391 -11.854387 -11.743735 -11.691267 -11.516845 -11.516843 -11.514849 -11.41386 -11.413856 -11.27339 -11.273384 -11.245189 -11.139176 -11.139173 -10.798459 -10.798446 -10.077264 -9.832241 -9.8322315 -9.3311129 -9.3311035 -7.74097 -7.7409634 -7.7036449 -7.7036285 -7.4417976 -6.4698854 -6.4698697 -6.330262 -6.3302507 -5.8072607 -5.8072414 -5.4865796 -4.9126823 -4.912668 -4.7560884 -4.7541421 -4.644502 -4.6444883 -4.5577177 -4.5314624 -4.5314605 -4.4198574 -4.3048364 -4.304828 -4.2750524 -4.274962 -4.219673 -4.2195894 -4.2000895 -4.1395577 -4.1395507 -3.8992818 -3.8992619 -3.826154 -3.6946677 -3.5913155 -3.5764496 -3.5764301 -3.2877235 -3.2876997 -3.1752156 -3.142454 -3.1424383 -3.1333664 -3.1316956 -3.1316871 -3.0755571 -3.0755346 -3.0102067 -3.0102013 -2.9648235 -2.9648113 -2.8192931 -2.5627915 -2.5045914 -2.4742903 -2.4102791 -2.3869989 -2.3869809 -2.2971981 -2.2971931 -2.2447327 -2.244719 -2.0862931 -2.0862737 -2.0838397 -1.9301142 -1.9300734 -1.8704636 -1.6568376 -1.5486151 -1.4980837 -1.4218448 -1.3394117 -1.3394029 -1.2378214 -1.1149025 -1.114894 -1.0444558 -0.82750634 -0.82744218 -0.67882228 -0.67873834 -0.6689688 -0.62279747 -0.5373537 -0.53720208 -0.44829154 -0.44816771 -0.21183436 -0.2118212 -0.20745331 -0.19644067 0.055145216 0.055165457 0.073525325 0.07353913 0.17001987 0.37954545 0.40844064 0.4084483 0.49125431 0.49128314 1.1463446 2.380439 2.380474 2.7101298 2.8369196 2.8369381 2.9101045 2.9101195 3.1552732 3.2008723 3.2008915 3.2111467 3.2311379 3.2417717 3.2417858 3.2951959 3.5187248 3.5187531 3.5522156 3.5604422 3.6321406 3.6321648 3.6576108 3.6698466 3.8343066 3.8343325 4.005803 4.0058328 4.2470159 4.2470396 4.2804894 4.280531 4.4184007 4.6423286 4.6764102 4.6764281 4.6833449
9 0.028163427  -60.207998 -60.196761 -60.192401 -60.192334 -60.18644 -60.186369 -60.184776 -60.181353 -60.18128 -34.467154 -34.441249 -34.44123 -34.437519 -34.437512 -34.380557 -34.380506 -34.342622 -34.342617 -34.33964 -34.26532 -34.265301 -34.263035 -34.259249 -34.247438 -34.247386 -34.238277 -34.229421 -34.228421 -34.228357 -34.218161 -34.215019 -34.214953 -34.211451 -34.202691 -34.202624 -34.201649 -17.444745 -16.746483 -16.370346 -16.370346 -15.623079 -15.623077 -15.252055 -14.268783 -14.268777 -13.258737 -13.201903 -13.201902 -13.154428 -12.607979 -12.607976 -12.541625 -12.273746 -12.273743 -12.186674 -12.186667 -11.882556 -11.882552 -11.77095 -11.699005 -11.500947 -11.500945 -11.498957 -11.410314 -11.41031 -11.283507 -11.283501 -11.253611 -11.132181 -11.132178 -10.886354 -10.886342 -10.250685 -9.6962497 -9.69624 -9.2229395 -9.2229303 -7.7885216 -7.7885051 -7.7026122 -7.7026047 -7.2448145 -6.4421881 -6.4421771 -6.375195 -6.3751793 -5.9541469 -5.9541277 -5.5155366 -4.8428885 -4.8428741 -4.731033 -4.7239285 -4.7239143 -4.6813212 -4.582965 -4.5335744 -4.5335728 -4.4438564 -4.3410917 -4.3410841 -4.273469 -4.2733884 -4.2176323 -4.2175592 -4.2020689 -4.0856097 -4.0856021 -3.8753142 -3.7933578 -3.7933378 -3.7667124 -3.5629748 -3.5246085 -3.5245839 -3.3629341 -3.3629222 -3.1653648 -3.150102 -3.1318321 -3.131823 -3.1215525 -3.1215358 -3.082541 -3.082523 -3.0125678 -3.0125631 -2.9837118 -2.9837008 -2.940186 -2.6325012 -2.4910666 -2.4884555 -2.4277055 -2.3906582 -2.3906532 -2.3865402 -2.3865217 -2.2343891 -2.2343752 -2.1095744 -2.0525653 -2.0525494 -1.9163411 -1.8164779 -1.8164501 -1.5625338 -1.4780736 -1.4454992 -1.3728036 -1.3050634 -1.3050547 -1.2028209 -1.0667668 -1.0667581 -0.930994 -0.85962349 -0.85957151 -0.69135126 -0.69127944 -0.65691314 -0.64922749 -0.53239962 -0.53226478 -0.43395366 -0.43385709 -0.24788469 -0.24786231 -0.23588695 -0.23212501 0.041048527 0.041069433 0.065637681 0.065652022 0.13907526 0.31859331 0.37275114 0.37280248 0.444584 0.44460198 1.1765063 2.3246861 2.3247221 2.7187118 2.829611 2.8296288 2.9117282 2.9117434 3.1189953 3.2028586 3.2028773 3.2150428 3.2266683 3.2378911 3.237905 3.3135683 3.5990135 3.6091982 3.6234845 3.6461188 3.6461295 3.6890104 3.6908026 3.6908373 3.8937525 3.8937756 3.9669237 3.9669526 4.2469061 4.2469274 4.2806756 4.2807256 4.4710757 4.5238683 4.6140678 4.7162988 4.7163129
10 0.031683856  -60.208417 -60.195917 -60.192173 -60.192107 -60.186838 -60.186766 -60.185198 -60.181173 -60.181101 -34.462669 -34.438957 -34.438937 -34.434958 -34.434952 -34.384064 -34.384016 -34.348682 -34.347903 -34.347897 -34.263945 -34.262089 -34.262069 -34.258187 -34.246719 -34.246671 -34.236406 -34.231511 -34.227938 -34.227874 -34.21595 -34.215884 -34.21362 -34.212412 -34.202236 -34.202169 -34.200622 -17.466195 -16.68082 -16.348237 -16.348237 -15.686972 -15.68697 -15.358357 -14.164216 -14.16421 -13.221453 -13.221451 -13.175706 -13.121137 -12.559925 -12.559921 -12.492099 -12.317724 -12.317717 -12.260202 -12.260198 -11.910659 -11.910655 -11.80122 -11.705945 -11.486604 -11.486602 -11.482894 -11.406306 -11.406302 -11.293455 -11.29345 -11.263004 -11.125811 -11.125808 -10.969922 -10.969909 -10.420575 -9.5602609 -9.5602508 -9.1172725 -9.1172638 -7.8741185 -7.874102 -7.6581948 -7.6581865 -7.0473019 -6.5515913 -6.5515809 -6.279663 -6.2796473 -6.0994189 -6.0993998 -5.5413493 -4.8078492 -4.8078345 -4.7795989 -4.7795844 -4.705277 -4.605948 -4.6037316 -4.5326889 -4.5326874 -4.465277 -4.3738748 -4.373868 -4.2855593 -4.2855115 -4.2110266 -4.2001976 -4.2001592 -4.058755 -4.0288982 -4.02889 -3.7052549 -3.6938287 -3.6938087 -3.5312295 -3.4798679 -3.4798118 -3.4308809 -3.4308557 -3.1600936 -3.1580199 -3.1318686 -3.1318592 -3.1043617 -3.1043442 -3.0889839 -3.0889681 -3.0567074 -3.0179775 -3.0179732 -3.0035219 -3.0035123 -2.7012677 -2.5719126 -2.4801993 -2.4801944 -2.4702396 -2.3846631 -2.3822653 -2.3822465 -2.2258478 -2.2258336 -2.1326638 -2.0198124 -2.0197985 -1.9613325 -1.7002844 -1.7002546 -1.4773167 -1.408866 -1.3924087 -1.3282453 -1.2682251 -1.2682166 -1.1706831 -1.0264117 -1.0264028 -0.89142693 -0.89138497 -0.8240388 -0.70268304 -0.70262027 -0.67880685 -0.64293179 -0.52890997 -0.52878999 -0.42068947 -0.42062408 -0.28441167 -0.28437406 -0.271381 -0.26547325 0.028199148 0.028220836 0.057079094 0.057094098 0.10825197 0.24981506 0.24985913 0.26066435 0.48040383 0.48041389 1.202739 2.2703509 2.270388 2.7286946 2.8228666 2.8228841 2.9122116 2.9122271 3.0836978 3.2071485 3.2071671 3.2186204 3.2237699 3.2342241 3.2342377 3.3334438 3.5849773 3.6369179 3.6692389 3.7136337 3.7525459 3.7525953 3.7793626 3.7793785 3.9313596 3.9313843 3.9494708 3.9494949 4.2469584 4.2469772 4.2803827 4.2804402 4.3807689 4.5223282 4.5755869 4.7528588 4.7528679
