# ik    E (eV)      weight
    0.000000  -19.500000    0.001305
    0.000000  -19.475000    0.001317
    0.000000  -19.450000    0.001330
    0.000000  -19.425000    0.001344
    0.000000  -19.400000    0.001357
    0.000000  -19.375000    0.001372
    0.000000  -19.350000    0.001387
    0.000000  -19.325000    0.001403
    0.000000  -19.300000    0.001421
    0.000000  -19.275000    0.001440
    0.000000  -19.250000    0.001460
    0.000000  -19.225000    0.001483
    0.000000  -19.200000    0.001509
    0.000000  -19.175000    0.001540
    0.000000  -19.150000    0.001576
    0.000000  -19.125000    0.001622
    0.000000  -19.100000    0.001683
    0.000000  -19.075000    0.001767
    0.000000  -19.050000    0.001887
    0.000000  -19.025000    0.002047
    0.000000  -19.000000    0.002209
    0.000000  -18.975000    0.002353
    0.000000  -18.950000    0.002578
    0.000000  -18.925000    0.002951
    0.000000  -18.900000    0.003304
    0.000000  -18.875000    0.003235
    0.000000  -18.850000    0.002827
    0.000000  -18.825000    0.002460
    0.000000  -18.800000    0.002230
    0.000000  -18.775000    0.002100
    0.000000  -18.750000    0.002031
    0.000000  -18.725000    0.001999
    0.000000  -18.700000    0.001993
    0.000000  -18.675000    0.002007
    0.000000  -18.650000    0.002040
    0.000000  -18.625000    0.002094
    0.000000  -18.600000    0.002175
    0.000000  -18.575000    0.002289
    0.000000  -18.550000    0.002427
    0.000000  -18.525000    0.002562
    0.000000  -18.500000    0.002731
    0.000000  -18.475000    0.003017
    0.000000  -18.450000    0.003510
    0.000000  -18.425000    0.004315
    0.000000  -18.400000    0.005405
    0.000000  -18.375000    0.006107
    0.000000  -18.350000    0.005589
    0.000000  -18.325000    0.004518
    0.000000  -18.300000    0.003681
    0.000000  -18.275000    0.003160
    0.000000  -18.250000    0.002849
    0.000000  -18.225000    0.002660
    0.000000  -18.200000    0.002543
    0.000000  -18.175000    0.002471
    0.000000  -18.150000    0.002428
    0.000000  -18.125000    0.002405
    0.000000  -18.100000    0.002395
    0.000000  -18.075000    0.002395
    0.000000  -18.050000    0.002403
    0.000000  -18.025000    0.002417
    0.000000  -18.000000    0.002437
    0.000000  -17.975000    0.002461
    0.000000  -17.950000    0.002491
    0.000000  -17.925000    0.002525
    0.000000  -17.900000    0.002564
    0.000000  -17.875000    0.002609
    0.000000  -17.850000    0.002661
    0.000000  -17.825000    0.002722
    0.000000  -17.800000    0.002794
    0.000000  -17.775000    0.002881
    0.000000  -17.750000    0.002989
    0.000000  -17.725000    0.003130
    0.000000  -17.700000    0.003321
    0.000000  -17.675000    0.003592
    0.000000  -17.650000    0.003987
    0.000000  -17.625000    0.004562
    0.000000  -17.600000    0.005337
    0.000000  -17.575000    0.006020
    0.000000  -17.550000    0.006018
    0.000000  -17.525000    0.005558
    0.000000  -17.500000    0.005274
    0.000000  -17.475000    0.005360
    0.000000  -17.450000    0.005864
    0.000000  -17.425000    0.006896
    0.000000  -17.400000    0.008548
    0.000000  -17.375000    0.010243
    0.000000  -17.350000    0.010286
    0.000000  -17.325000    0.008665
    0.000000  -17.300000    0.007067
    0.000000  -17.275000    0.006062
    0.000000  -17.250000    0.005533
    0.000000  -17.225000    0.005326
    0.000000  -17.200000    0.005369
    0.000000  -17.175000    0.005662
    0.000000  -17.150000    0.006258
    0.000000  -17.125000    0.007132
    0.000000  -17.100000    0.007808
    0.000000  -17.075000    0.007692
    0.000000  -17.050000    0.007294
    0.000000  -17.025000    0.007267
    0.000000  -17.000000    0.007809
    0.000000  -16.975000    0.009074
    0.000000  -16.950000    0.011326
    0.000000  -16.925000    0.014493
    0.000000  -16.900000    0.016633
    0.000000  -16.875000    0.015159
    0.000000  -16.850000    0.011923
    0.000000  -16.825000    0.009356
    0.000000  -16.800000    0.007750
    0.000000  -16.775000    0.006785
    0.000000  -16.750000    0.006198
    0.000000  -16.725000    0.005835
    0.000000  -16.700000    0.005611
    0.000000  -16.675000    0.005476
    0.000000  -16.650000    0.005401
    0.000000  -16.625000    0.005370
    0.000000  -16.600000    0.005370
    0.000000  -16.575000    0.005396
    0.000000  -16.550000    0.005441
    0.000000  -16.525000    0.005505
    0.000000  -16.500000    0.005584
    0.000000  -16.475000    0.005679
    0.000000  -16.450000    0.005789
    0.000000  -16.425000    0.005915
    0.000000  -16.400000    0.006060
    0.000000  -16.375000    0.006227
    0.000000  -16.350000    0.006422
    0.000000  -16.325000    0.006657
    0.000000  -16.300000    0.006947
    0.000000  -16.275000    0.007320
    0.000000  -16.250000    0.007793
    0.000000  -16.225000    0.008336
    0.000000  -16.200000    0.008848
    0.000000  -16.175000    0.009318
    0.000000  -16.150000    0.009734
    0.000000  -16.125000    0.009922
    0.000000  -16.100000    0.010062
    0.000000  -16.075000    0.010404
    0.000000  -16.050000    0.011010
    0.000000  -16.025000    0.011908
    0.000000  -16.000000    0.013173
    0.000000  -15.975000    0.014953
    0.000000  -15.950000    0.017520
    0.000000  -15.925000    0.021363
    0.000000  -15.900000    0.027364
    0.000000  -15.875000    0.037030
    0.000000  -15.850000    0.052187
    0.000000  -15.825000    0.071027
    0.000000  -15.800000    0.079411
    0.000000  -15.775000    0.066970
    0.000000  -15.750000    0.048678
    0.000000  -15.725000    0.035366
    0.000000  -15.700000    0.027162
    0.000000  -15.675000    0.022184
    0.000000  -15.650000    0.019094
    0.000000  -15.625000    0.017125
    0.000000  -15.600000    0.015851
    0.000000  -15.575000    0.015025
    0.000000  -15.550000    0.014502
    0.000000  -15.525000    0.014193
    0.000000  -15.500000    0.014039
    0.000000  -15.475000    0.014004
    0.000000  -15.450000    0.014063
    0.000000  -15.425000    0.014200
