# ik    E (eV)      weight
    0.000000  -19.500000    0.001348
    0.000000  -19.475000    0.001358
    0.000000  -19.450000    0.001369
    0.000000  -19.425000    0.001380
    0.000000  -19.400000    0.001391
    0.000000  -19.375000    0.001402
    0.000000  -19.350000    0.001413
    0.000000  -19.325000    0.001425
    0.000000  -19.300000    0.001436
    0.000000  -19.275000    0.001448
    0.000000  -19.250000    0.001460
    0.000000  -19.225000    0.001472
    0.000000  -19.200000    0.001484
    0.000000  -19.175000    0.001496
    0.000000  -19.150000    0.001509
    0.000000  -19.125000    0.001521
    0.000000  -19.100000    0.001534
    0.000000  -19.075000    0.001547
    0.000000  -19.050000    0.001560
    0.000000  -19.025000    0.001574
    0.000000  -19.000000    0.001587
    0.000000  -18.975000    0.001601
    0.000000  -18.950000    0.001615
    0.000000  -18.925000    0.001629
    0.000000  -18.900000    0.001643
    0.000000  -18.875000    0.001658
    0.000000  -18.850000    0.001673
    0.000000  -18.825000    0.001688
    0.000000  -18.800000    0.001703
    0.000000  -18.775000    0.001718
    0.000000  -18.750000    0.001734
    0.000000  -18.725000    0.001750
    0.000000  -18.700000    0.001766
    0.000000  -18.675000    0.001782
    0.000000  -18.650000    0.001799
    0.000000  -18.625000    0.001815
    0.000000  -18.600000    0.001832
    0.000000  -18.575000    0.001850
    0.000000  -18.550000    0.001867
    0.000000  -18.525000    0.001885
    0.000000  -18.500000    0.001903
    0.000000  -18.475000    0.001922
    0.000000  -18.450000    0.001940
    0.000000  -18.425000    0.001959
    0.000000  -18.400000    0.001979
    0.000000  -18.375000    0.001998
    0.000000  -18.350000    0.002018
    0.000000  -18.325000    0.002038
    0.000000  -18.300000    0.002059
    0.000000  -18.275000    0.002080
    0.000000  -18.250000    0.002101
    0.000000  -18.225000    0.002122
    0.000000  -18.200000    0.002144
    0.000000  -18.175000    0.002167
    0.000000  -18.150000    0.002189
    0.000000  -18.125000    0.002212
    0.000000  -18.100000    0.002236
    0.000000  -18.075000    0.002260
    0.000000  -18.050000    0.002284
    0.000000  -18.025000    0.002309
    0.000000  -18.000000    0.002334
    0.000000  -17.975000    0.002359
    0.000000  -17.950000    0.002385
    0.000000  -17.925000    0.002412
    0.000000  -17.900000    0.002439
    0.000000  -17.875000    0.002466
    0.000000  -17.850000    0.002494
    0.000000  -17.825000    0.002522
    0.000000  -17.800000    0.002551
    0.000000  -17.775000    0.002581
    0.000000  -17.750000    0.002611
    0.000000  -17.725000    0.002641
    0.000000  -17.700000    0.002672
    0.000000  -17.675000    0.002704
    0.000000  -17.650000    0.002736
    0.000000  -17.625000    0.002769
    0.000000  -17.600000    0.002803
    0.000000  -17.575000    0.002837
    0.000000  -17.550000    0.002872
    0.000000  -17.525000    0.002908
    0.000000  -17.500000    0.002944
    0.000000  -17.475000    0.002981
    0.000000  -17.450000    0.003019
    0.000000  -17.425000    0.003058
    0.000000  -17.400000    0.003097
    0.000000  -17.375000    0.003137
    0.000000  -17.350000    0.003178
    0.000000  -17.325000    0.003220
    0.000000  -17.300000    0.003263
    0.000000  -17.275000    0.003307
    0.000000  -17.250000    0.003351
    0.000000  -17.225000    0.003397
    0.000000  -17.200000    0.003444
    0.000000  -17.175000    0.003491
    0.000000  -17.150000    0.003540
    0.000000  -17.125000    0.003590
    0.000000  -17.100000    0.003641
    0.000000  -17.075000    0.003693
    0.000000  -17.050000    0.003746
    0.000000  -17.025000    0.003801
    0.000000  -17.000000    0.003856
    0.000000  -16.975000    0.003914
    0.000000  -16.950000    0.003972
    0.000000  -16.925000    0.004032
    0.000000  -16.900000    0.004093
    0.000000  -16.875000    0.004156
    0.000000  -16.850000    0.004220
    0.000000  -16.825000    0.004286
    0.000000  -16.800000    0.004354
    0.000000  -16.775000    0.004423
    0.000000  -16.750000    0.004495
    0.000000  -16.725000    0.004568
    0.000000  -16.700000    0.004642
    0.000000  -16.675000    0.004719
    0.000000  -16.650000    0.004798
    0.000000  -16.625000    0.004879
    0.000000  -16.600000    0.004962
    0.000000  -16.575000    0.005048
    0.000000  -16.550000    0.005136
    0.000000  -16.525000    0.005226
    0.000000  -16.500000    0.005319
    0.000000  -16.475000    0.005414
    0.000000  -16.450000    0.005513
    0.000000  -16.425000    0.005614
    0.000000  -16.400000    0.005718
    0.000000  -16.375000    0.005825
    0.000000  -16.350000    0.005935
    0.000000  -16.325000    0.006049
    0.000000  -16.300000    0.006167
    0.000000  -16.275000    0.006288
    0.000000  -16.250000    0.006412
    0.000000  -16.225000    0.006541
    0.000000  -16.200000    0.006674
    0.000000  -16.175000    0.006811
    0.000000  -16.150000    0.006953
    0.000000  -16.125000    0.007099
    0.000000  -16.100000    0.007251
    0.000000  -16.075000    0.007408
    0.000000  -16.050000    0.007570
    0.000000  -16.025000    0.007738
    0.000000  -16.000000    0.007911
    0.000000  -15.975000    0.008091
