1 0  -15.895365 -15.895363 -14.900076 -14.900076 -8.0780976 -8.0780958 -3.9295484 -3.9295468 0.30986224 0.30986252 6.0654815 6.0654858 14.572915 14.572917 16.145075 16.145075 18.842663 18.842664
2 0.0023416417  -15.906849 -15.897868 -14.896592 -14.887707 -8.0799586 -8.077507 -3.9335649 -3.9299966 0.31096675 0.31493657 6.0658243 6.0684301 14.560553 14.569438 16.147308 16.154025 18.838274 18.84219
3 0.0046832834  -15.939731 -15.905273 -14.886246 -14.852171 -8.0855361 -8.0757409 -3.9455542 -3.9313431 0.3142756 0.33009743 6.0668394 6.0772704 14.524439 14.559106 16.153853 16.179879 18.825125 18.840822
4 0.0070249251  -15.990178 -15.917276 -14.869344 -14.797299 -8.0948136 -8.0727978 -3.9653395 -3.9335778 0.31977483 0.35516498 6.0685304 6.0919854 14.467147 14.542228 16.164259 16.219992 18.803266 18.838726
5 0.0093665669  -16.053796 -15.933424 -14.84634 -14.727491 -8.1077641 -8.0686788 -3.9926379 -3.9366865 0.3274413 0.38985118 6.0708956 6.112547 14.392068 14.519274 16.177819 16.27086 18.772779 18.836172
6 0.011708209  -16.126775 -15.953177 -14.817778 -14.646555 -8.1243499 -8.0633848 -4.0270773 -3.9406498 0.33724286 0.43377649 6.0739332 6.1389163 14.302668 14.490833 16.193615 16.32887 18.733776 18.833537
7 0.01404985  -16.206231 -15.975966 -14.784232 -14.55738 -8.1445231 -8.0569174 -4.068216 -3.945443 0.34913861 0.48648975 6.0776404 6.1710436 14.202041 14.457552 16.21058 16.390756 18.686401 18.831298
8 0.016391492  -16.290107 -16.001236 -14.74626 -14.462027 -8.1682262 -8.0492784 -4.1155641 -3.9510366 0.36307918 0.54748929 6.0820142 6.2088693 14.092755 14.420099 16.227546 16.453768 18.630825 18.83002
9 0.018733134  -16.376964 -16.028476 -14.704381 -14.361936 -8.1953924 -8.0404701 -4.1686032 -3.9573968 0.37900712 0.61624325 6.0870505 6.2523243 13.976859 14.379126 16.243294 16.515674 18.567242 18.830345
10 0.021074775  -16.465796 -16.057233 -14.659055 -14.258118 -8.2259463 -8.0304948 -4.2268049 -3.9644856 0.39685725 0.69220762 6.0927451 6.3013301 13.855967 14.335241 16.256593 16.574698 18.495874 18.832972
11 0.023416417  -16.555893 -16.087114 -14.610683 -14.15129 -8.2598045 -8.0193556 -4.2896456 -3.9722615 0.41655713 0.77484122 6.099093 6.3558001 13.731344 14.289001 16.266236 16.629439 18.416958 18.838631
12 0.025758059  -16.646741 -16.117785 -14.559609 -14.04197 -8.2968759 -8.0070556 -4.3566182 -3.9806799 0.43802745 0.86361728 6.1060883 6.4156397 13.603987 14.240903 16.271078 16.678807 18.330753 18.84805
13 0.028099701  -16.737966 -16.148965 -14.506126 -13.930539 -8.337063 -7.9935984 -4.4272399 -3.9896932 0.46118252 0.9580317 6.1137249 6.4807473 13.474687 14.191386 16.270071 16.721966 18.237529 18.86192
14 0.030441342  -16.829288 -16.180415 -14.450482 -13.817284 -8.380262 -7.9789882 -4.5010579 -3.9992521 0.48593075 1.0576084 6.1219959 6.5510146 13.344082 14.140832 16.262297 16.758298 18.137574 18.880849
15 0.032782984  -16.920495 -16.21194 -14.392889 -13.702425 -8.4263638 -7.9632291 -4.5776523 -4.0093051 0.51217503 1.1619024 6.1308936 6.6263279 13.212687 14.089573 16.246997 16.787365 18.03118 18.905336
16 0.035124626  -17.011422 -16.243374 -14.333528 -13.586134 -8.4752544 -7.946326 -4.6566369 -4.0197997 0.53981327 1.2705009 6.1404098 6.7065682 13.080926 14.037895 16.223595 16.808884 17.918651 18.935732
17 0.037466267  -17.101942 -16.274577 -14.272554 -13.468548 -8.5268157 -7.9282841 -4.7376594 -4.0306824 0.56873876 1.3830227 6.1505355 6.7916119 12.949148 13.986043 16.19171 16.822706 17.800296 18.97223
18 0.039807909  -17.191952 -16.305434 -14.210101 -13.349779 -8.5809258 -7.9091091 -4.8203996 -4.0418992 0.5988406 1.4991178 6.1612611 6.8813317 12.817644 13.934226 16.151151 16.828791 17.676429 18.978991
19 0.042149551  -17.28137 -16.335845 -14.14629 -13.229918 -8.6374598 -7.8888068 -4.9045679 -4.0533961 0.63000411 1.6184648 6.1725762 6.975597 12.686659 13.882622 16.101906 16.82719 17.547369 18.791054
20 0.044491193  -17.370129 -16.365729 -14.081227 -13.109045 -8.69629 -7.8673838 -4.989903 -4.0651191 0.6621112 1.7407694 6.1844698 7.0742743 12.556398 13.831381 16.044116 16.818021 17.413445 18.605049
21 0.046832834  -17.458173 -16.395013 -14.015008 -12.987226 -8.7572864 -7.844847 -5.0761698 -4.077015 0.69504073 1.8657618 6.1969298 7.1772279 12.427038 13.780627 15.978047 16.801442 17.275008 18.421266
22 0.049174476  -17.545457 -16.423637 -13.947721 -12.86452 -8.8203167 -7.8212039 -5.1631567 -4.0890312 0.72866882 1.9931944 6.2099438 7.2843202 12.298728 13.730462 15.90406 16.777599 17.13246 18.239949
23 0.051516118  -17.63194 -16.451549 -13.879449 -12.74098 -8.8852468 -7.7964623 -5.2506735 -4.1011162 0.76286924 2.1228398 6.2234982 7.3954117 12.171595 13.680964 15.822585 16.746475 16.986402 18.061302
24 0.053857759  -17.717589 -16.478705 -13.810273 -12.616652 -8.9519405 -7.7706306 -5.3385495 -4.1132198 0.79751366 2.2544887 6.2375787 7.5103622 12.045749 13.632192 15.734095 16.707056 16.838447 17.885493
25 0.056199401  -17.802377 -16.505066 -13.74027 -12.491579 -9.0202597 -7.7437177 -5.426631 -4.1252929 0.832472 2.3879477 6.2521702 7.6290298 11.921285 13.584183 15.639088 16.646099 16.702447 17.712658
26 0.058541043  -17.886277 -16.530597 -13.669517 -12.365803 -9.090064 -7.7157331 -5.5147797 -4.1372884 0.86761276 2.5230377 6.2672567 7.7512723 11.798283 13.536952 15.538077 16.513116 16.6295 17.542908
27 0.060882685  -17.969269 -16.55527 -13.598091 -12.23936 -9.1612104 -7.6866868 -5.6028713 -4.1491604 0.90280329 2.6595923 6.2828212 7.8769463 11.676814 13.490488 15.431584 16.356079 16.572237 17.376331
28 0.063224326  -18.051333 -16.57906 -13.526073 -12.112288 -9.2335528 -7.6565892 -5.6907936 -4.1608651 0.93791018 2.7974565 6.2988459 8.0059077 11.556939 13.444755 15.320136 16.194083 16.512159 17.212994
29 0.065565968  -18.132452 -16.601942 -13.453547 -11.98462 -9.3069411 -7.6254517 -5.7784453 -4.1723604 0.97279951 2.936485 6.3153119 8.1380117 11.43871 13.399682 15.204266 16.029046 16.447923 17.052947
30 0.06790761  -18.212612 -16.623898 -13.380603 -11.856391 -9.3812199 -7.5932858 -5.8657349 -4.183606 1.0073373 3.0765415 6.3321994 8.2731123 11.322172 13.35516 15.084525 15.861563 16.379499 16.896224
31 0.070249251  -18.291798 -16.644911 -13.307338 -11.727635 -9.4562279 -7.5601042 -5.9525797 -4.1945637 1.0413899 3.2174974 6.3494875 8.4110627 11.207365 13.31103 14.961487 15.69198 16.307081 16.742846
32 0.072590893  -18.369999 -16.664963 -13.23386 -11.598384 -9.5317955 -7.5259197 -6.0389045 -4.2051971 1.0748243 3.359231 6.3671544 8.5517143 11.094321 13.267067 14.835767 15.520569 16.23092 16.592822
33 0.074932535  -18.447203 -16.684043 -13.160287 -11.46867 -9.6077428 -7.4907462 -6.1246412 -4.2154717 1.1075085 3.5016267 6.385177 8.6949167 10.983071 13.222966 14.708044 15.347564 16.151282 16.446152
34 0.077274177  -18.5234 -16.702137 -13.086755 -11.338528 -9.6838768 -7.454598 -6.2097278 -4.2253551 1.1393124 3.6445741 6.4035311 8.8405171 10.873638 13.178313 14.579084 15.173181 16.068433 16.302827
35 0.079615818  -18.598581 -16.719235 -13.013416 -11.20799 -9.7599883 -7.4174904 -6.2941078 -4.2348169 1.1701078 3.7879679 6.4221916 8.9883596 10.766043 13.132552 14.449782 14.99762 15.982632 16.162829
